name,embedding,description,required_skills,recommended_classes
AI Ethics Consultant,"[-0.04071635752916336, 0.1538200080394745, 0.0, -0.004720393568277359, -0.023997312411665916, 0.0, 0.043274231255054474, 0.0, -0.04543675482273102, -0.11054577678442001, 0.043274231255054474, -0.23997314274311066, 0.06255114823579788, -0.17525944113731384, 0.0, -0.1079879105091095, 0.023997312411665916, -0.1079879105091095, -0.043274231255054474, -0.17781732976436615, 0.0, 0.11015044152736664, -0.2570875287055969, -0.12982270121574402, -0.08871098607778549, 0.0, 0.17525944113731384, 0.13670563697814941, -0.023997312411665916, -0.12982270121574402, -0.08399058878421783, -0.215975821018219, 0.1538200080394745, 0.261807918548584, -0.043274231255054474, 0.0021625161170959473, -0.04799462482333183, 0.0, -0.1079879105091095, 0.0, 0.0, -0.1538200080394745, 0.043274231255054474, 0.14909961819648743, -0.0651090145111084, -0.15126213431358337, 0.1079879105091095, -0.12982270121574402, 0.0, 0.11015044152736664, 0.12982270121574402, 0.08654846251010895, 0.0, -0.30508214235305786, 0.0, 0.15126213431358337, -0.023997312411665916, 0.1538200080394745, 0.261807918548584, 0.19709423184394836, 0.19709423184394836, -0.045832112431526184, -0.023997312411665916, -0.06471367925405502, -0.261807918548584, -0.023997312411665916, 0.1079879105091095, 0.023997312411665916, 0.04799462482333183, -0.023997312411665916, 0.1079879105091095, -0.0021625161170959473, 0.15126213431358337, 0.1079879105091095, -0.1730969250202179, -0.1079879105091095, -0.04799462482333183, -0.023997312411665916, 0.023997312411665916, -0.345798522233963, 0.17053905129432678, 0.30508214235305786, -0.13198521733283997, 0.08399058878421783, -0.261807918548584, -0.13198521733283997, -0.023997312411665916, -0.12982270121574402, -0.1079879105091095, 0.13198521733283997, -0.043274231255054474, 0.13198521733283997, -0.12982270121574402, -0.06727154552936554, 0.12982270121574402, 0.1079879105091095, -0.1079879105091095, 0.12982270121574402, 0.17525944113731384, 0.06471367925405502, 0.23781061172485352, 0.038553837686777115, 0.1538200080394745, 0.261807918548584, -0.004720393568277359, -0.043274231255054474, 0.11270830780267715, 0.1538200080394745, -0.043274231255054474, -0.0025578737258911133, 0.13198521733283997, 0.04799462482333183, 0.02183479070663452, 0.22109155356884003, 0.0, 0.0651090145111084, -0.08910633623600006, -0.1538200080394745, -0.12510229647159576, -0.043274231255054474, 0.13198521733283997, -0.1730969250202179, 0.019276918843388557, -0.043274231255054474, -0.1538200080394745, 0.0, -0.019276918843388557, 0.06727154552936554]",Ensure AI ethics,"[Ethics, AI Governance]",[Professional Ethics]
AI/ML Engineer,"[-0.10850504785776138, 0.06223003566265106, 0.15447159111499786, 0.052230801433324814, 0.19794416427612305, 0.0005095973610877991, -0.07789209485054016, -0.05466308072209358, -0.046322181820869446, 0.15078118443489075, -0.0027092862874269485, -0.11223787814378738, 0.05419330298900604, -0.09728565812110901, 0.18261143565177917, 0.11582475155591965, -0.09217369556427002, -0.3468729257583618, 0.15481600165367126, 0.038365211337804794, 0.11462915688753128, -0.2512055039405823, -0.0006109438836574554, 0.37619057297706604, 0.1387169510126114, 0.27088698744773865, 0.19850075244903564, -0.10058964043855667, 0.027891021221876144, -0.052004825323820114, -0.040385641157627106, 0.00816798210144043, -0.03494320064783096, -0.09210211038589478, 0.07304390519857407, 0.11237702518701553, -0.05146230757236481, 0.2818121612071991, 0.1473233699798584, -0.16636431217193604, -0.2632976174354553, -0.18298174440860748, 0.05931762605905533, -0.029050521552562714, -0.18980735540390015, -0.10730788111686707, -0.11885833740234375, -0.18102915585041046, 0.20220020413398743, 0.16368623077869415, 0.13702815771102905, 0.10021934658288956, 0.11716839671134949, 0.11773449927568436, -0.04646605998277664, -0.047332026064395905, -0.13004252314567566, 0.08286862075328827, 0.07386904954910278, 0.09175968170166016, -0.013232783414423466, 0.10710160434246063, 0.10668616741895676, 0.04051617160439491, 0.0960899218916893, 0.1671704649925232, 0.06649414449930191, -0.028779126703739166, -0.07501719146966934, 0.13570794463157654, 0.11933200061321259, 0.15353991091251373, 0.20022693276405334, -0.09329639375209808, -0.19629202783107758, 0.05646543949842453, -0.02870221622288227, -0.10905951261520386, -0.09446149319410324, 0.10183122754096985, -0.13142728805541992, 0.05430082976818085, -0.15397071838378906, 0.00835716724395752, 0.09473750740289688, -0.08211393654346466, -0.07916027307510376, -0.14033660292625427, 0.01278097927570343, 0.2546420693397522, -0.2945241332054138, -0.1403447985649109, -0.01973353698849678, -0.04406627267599106, 0.0459287166595459, 0.1860603392124176, 0.011723935604095459, -0.2999194264411926, -0.08479692041873932, -0.0011528916656970978, -0.0034392625093460083, 0.06096272170543671, -0.03393004089593887, -0.31208229064941406, 0.041566573083400726, 0.025258634239435196, -0.1351543515920639, -0.17339365184307098, -0.0037763621658086777, 0.23327979445457458, 0.11582762748003006, -0.13580380380153656, 0.2845695912837982, 0.04545002803206444, 0.1426159292459488, 0.005836324766278267, 0.13687965273857117, 0.07559407502412796, 0.011631689965724945, -0.0781298577785492, 0.2081088423728943, 0.20415237545967102, 0.17354759573936462, 0.015111904591321945, 0.043466970324516296, 0.13352032005786896, 0.00032028183341026306, -0.16758908331394196]",Develop AI models,"[Python, TensorFlow, AI/ML]","[Artificial Intelligence Concepts, Machine Learning, Competitive Programming, Image Processing and Computer Vision, Applied Data Science Programming, Deep Learning, Text Mining, Knowledge based Engineering, Smart Game, Robotics, Special Topics on Intelligent Computation and Vision, Agent-based Simulation]"
Blockchain Developer,"[0.0, 0.0, 0.0, -0.13608276844024658, 0.13608276844024658, -0.13608276844024658, 0.12126781046390533, 0.12126781046390533, 0.2573505640029907, 0.014814957976341248, 0.0, 0.0, 0.13608276844024658, 0.0, 0.0, 0.014814957976341248, -0.13608276844024658, 0.12126781046390533, -0.12126781046390533, 0.2573505640029907, -0.13608276844024658, -0.13608276844024658, 0.12126781046390533, -0.12126781046390533, -0.2573505640029907, 0.0, 0.0, 0.12126781046390533, 0.13608276844024658, 0.24253562092781067, -0.13608276844024658, 0.0, 0.12126781046390533, -0.13608276844024658, 0.0, 0.12126781046390533, 0.0, 0.13608276844024658, -0.12126781046390533, 0.014814957976341248, -0.13608276844024658, 0.12126781046390533, 0.0, 0.12126781046390533, 0.13608276844024658, 0.37861838936805725, 0.12126781046390533, -0.13608276844024658, -0.13608276844024658, -0.014814957976341248, 0.014814957976341248, 0.0, -0.014814957976341248, 0.13608276844024658, -0.014814957976341248, -0.2573505640029907, -0.12126781046390533, 0.12126781046390533, 0.0, 0.12126781046390533, -0.12126781046390533, 0.2573505640029907, 0.13608276844024658, 0.014814957976341248, -0.12126781046390533, 0.0, 0.0, -0.12126781046390533, -0.12126781046390533, -0.12126781046390533, -0.13608276844024658, -0.13608276844024658, -0.12126781046390533, -0.13608276844024658, 0.0, -0.13608276844024658, -0.12126781046390533, 0.0, 0.0, 0.0, -0.13608276844024658, -0.13608276844024658, -0.2573505640029907, 0.014814957976341248, -0.13608276844024658, -0.12126781046390533, -0.12126781046390533, -0.13608276844024658, 0.0, 0.13608276844024658, 0.12126781046390533, -0.2573505640029907, -0.13608276844024658, 0.0, 0.12126781046390533, 0.0, -0.12126781046390533, 0.0, 0.0, 0.2573505640029907, -0.014814957976341248, -0.12126781046390533, 0.13608276844024658, 0.0, 0.12126781046390533, 0.0, 0.0, 0.0, -0.24253562092781067, 0.0, 0.0, 0.12126781046390533, 0.12126781046390533, 0.12126781046390533, -0.13608276844024658, 0.0, -0.12126781046390533, -0.13608276844024658, -0.014814957976341248, 0.0, 0.0, -0.13608276844024658, -0.13608276844024658, 0.2573505640029907, -0.014814957976341248, 0.12126781046390533, 0.0, 0.0]",Develop blockchain,"[Blockchain, Solidity]",[]
Business Analyst,"[0.005754802376031876, -0.30107778310775757, -0.012418768368661404, 0.14342033863067627, 0.14902523159980774, 0.061184678226709366, 0.030592339113354683, -0.08223564922809601, -0.10025931894779205, -0.08602221310138702, -0.09359534829854965, 0.024837536737322807, 0.0, 0.0, -0.1184328943490982, -0.024837536737322807, -0.061184678226709366, 0.061184678226709366, 0.018173571676015854, -0.23126086592674255, 0.1805267184972763, 0.24367964267730713, 0.1768900752067566, -0.037256307899951935, 0.08602221310138702, -0.030592339113354683, -0.04497934505343437, 0.05542987585067749, 0.16825787723064423, -0.07451261579990387, 0.07451261579990387, -0.10707318782806396, 0.047706834971904755, 0.030592339113354683, -0.10707318782806396, 0.16250306367874146, -0.11949195712804794, -0.2618532180786133, 0.07648085057735443, 0.2064233422279358, -0.08693137764930725, 0.05542987585067749, -0.1184328943490982, -0.15674826502799988, 0.21884208917617798, -0.014387007802724838, 0.11752371490001678, 0.12418768554925919, -0.024837536737322807, 0.1184328943490982, 0.07648085057735443, -0.22459690272808075, -0.061184678226709366, 0.19309541583061218, 0.08117657154798508, -0.07648085057735443, 0.16523054242134094, 0.012418768368661404, 0.11949195712804794, 0.08693137764930725, 0.061184678226709366, -0.006663968786597252, -0.0458885096013546, -0.012418768368661404, -0.05633904039859772, -0.05633904039859772, 0.0295332670211792, -0.1443294882774353, 0.2618532180786133, -0.11373715847730637, 0.18824976682662964, -0.015296169556677341, -0.06784864515066147, -0.024837536737322807, 0.07345353066921234, 0.024837536737322807, 0.05542987585067749, -0.050584230571985245, -0.16916702687740326, 0.025896616280078888, 0.10601411759853363, -0.03150150179862976, -0.14902523159980774, -0.21111905574798584, -0.030592339113354683, -0.12524676322937012, -0.07648085057735443, -0.10131838917732239, 0.14811605215072632, 0.0, 0.2130873054265976, 0.07451261579990387, -0.051643311977386475, 0.23701566457748413, 0.18158580362796783, -0.013477839529514313, 0.10707318782806396, 0.0, 0.08693137764930725, -0.05739811435341835, 0.005754802376031876, 0.3010777533054352, -0.01711449772119522, -0.025896616280078888, 0.07829917967319489, -0.06966696679592133, -0.1835540384054184, -0.1443294882774353, 0.05633904039859772, 0.025896616280078888, 0.18249496817588806, -0.15008428692817688, 0.0, -0.1376655250787735, 0.2598849833011627, -0.0458885096013546, -0.17961756885051727, 0.16144399344921112, 0.08889961987733841, 0.0, -0.013477839529514313, -0.23701566457748413, -0.07648085057735443, -0.04104286804795265, 0.025896616280078888, -0.09571348130702972, 0.09359534829854965, -0.024837536737322807]",Analyze business needs,"[Business Analysis, Requirements]","[Technopreneurship, Requirement Engineering, Enterprise Systems]"
Cloud Architect,"[0.027197277173399925, -0.2805010676383972, 0.06412279605865479, 0.010690517723560333, 0.05682660639286041, -0.03554230183362961, -0.09790340811014175, 0.10952398926019669, -0.07872699201107025, -0.13856948912143707, 0.06393948942422867, 0.07948394864797592, -0.1010923981666565, 0.11051853746175766, 0.0977846086025238, -0.18895360827445984, 0.10463780909776688, 0.023100286722183228, -0.2690536081790924, -0.042244456708431244, -0.04695752263069153, -0.12217134982347488, 0.08782895654439926, 0.1476171314716339, -0.04087143391370773, 0.19246676564216614, 0.0739273726940155, 0.09096364676952362, 0.1717119812965393, -0.05058947950601578, -0.025240428745746613, -0.10047632455825806, -0.13704542815685272, -0.20230361819267273, -0.1642104536294937, -0.16105370223522186, 0.07243555039167404, -0.06675000488758087, 0.016041725873947144, -0.1202688217163086, -0.22639843821525574, 0.058437228202819824, -0.03293713182210922, -0.09371986240148544, -0.012733932584524155, -0.023100286722183228, 0.34778061509132385, -0.3064984381198883, -0.23846198618412018, -0.027283839881420135, 0.11116684973239899, -0.07518159598112106, 0.10633498430252075, -0.14816874265670776, -0.032321058213710785, 0.21512410044670105, 0.017328202724456787, -0.1466768980026245, -0.008518137037754059, 0.18892134726047516, -0.053400009870529175, -0.10047632455825806, 0.23330596089363098, -0.2728043794631958, -0.18851064145565033, 0.14184504747390747, 0.17647933959960938, -0.04075263813138008, -0.011242106556892395, -0.11406393349170685, -0.0704142153263092, -0.14527162909507751, -0.12097145617008209, 0.17355003952980042, -0.13276517391204834, 0.05744268000125885, 0.06592857837677002, -0.17565791308879852, 0.12697097659111023, -0.10323254764080048, -0.12316590547561646, 0.19267211854457855, -0.03723948076367378, 0.26329168677330017, -0.08443459868431091, 0.07638148963451385, -0.15812437236309052, -0.06675000488758087, 0.011999055743217468, -0.048276230692863464, 0.09137436002492905, 0.032526418566703796, -0.03723948076367378, -0.04505499452352524, 0.2347111999988556, 0.04500066861510277, 0.008345020934939384, -0.06675000488758087, -0.1125398650765419, 0.0729871392250061, 0.057474926114082336, -0.1918506920337677, 0.008431579917669296, 0.10121120512485504, -0.04406043142080307, 0.06695536524057388, 0.14465558528900146, -0.04505499452352524, -0.1455092430114746, 0.0013730227947235107, -0.2873542904853821, 0.055302537977695465, -0.18912672996520996, -0.25933557748794556, 0.22499318420886993, 0.23858079314231873, -0.07799211889505386, 0.053281210362911224, -0.17630624771118164, -0.014992870390415192, 0.030180931091308594, 0.04558449983596802, -0.06889014691114426, -0.003545403480529785, 0.23409515619277954, 0.061799339950084686, 0.028224069625139236, 0.06675000488758087]",Design cloud solutions,"[AWS, Azure, Cloud Architecture]","[Cloud Computing, Distributed Systems]"
Cloud Migration Specialist,"[-0.014733690768480301, -0.29170915484428406, 0.07763472944498062, -0.0028349533677101135, 0.05383720621466637, 0.1020045280456543, -0.1559848189353943, 0.09421511739492416, -0.04434415325522423, -0.06715342402458191, 0.08344767987728119, 0.080755814909935, 0.07111968100070953, 0.2715917229652405, 0.08741392195224762, -0.10894879698753357, -0.020260494202375412, -0.010767441242933273, -0.15740227699279785, -0.08344767987728119, -0.014876779168844223, 0.006515026092529297, 0.061912793666124344, 0.06715342402458191, 0.066022127866745, 0.07395461946725845, 0.04561854153871536, 0.13175806403160095, 0.20146030187606812, -0.03230232372879982, 0.049870967864990234, 0.006515026092529297, -0.009349970147013664, -0.027061693370342255, -0.12255120277404785, -0.12099063396453857, -0.027061693370342255, -0.1303406059741974, 0.07409770041704178, -0.008218660950660706, -0.29440101981163025, 0.033576712012290955, 0.05766037851572037, -0.1287800669670105, -0.08344767987728119, 0.04306976497173309, 0.20174644887447357, -0.310552179813385, -0.23107075691223145, -0.05256281793117523, 0.05907784402370453, -0.09421511739492416, 0.14365683495998383, -0.11305814236402512, -0.0069442689418792725, 0.16547787189483643, -0.00906379520893097, 0.06035223603248596, 0.013459301553666592, 0.1238255724310875, -0.010767441242933273, -0.09421511739492416, 0.20047207176685333, -0.1303406059741974, -0.3119696378707886, 0.06885708123445511, 0.11433252692222595, -0.010767441242933273, -0.010767441242933273, -0.22172078490257263, -0.08061272650957108, 0.04958479478955269, -0.12779182195663452, 0.18035465478897095, -0.31749647855758667, -0.04306976497173309, 0.07140584290027618, -0.08770009130239487, 0.02451290190219879, -0.02280927076935768, -0.07013146579265594, 0.1974940299987793, -0.061912793666124344, 0.26861369609832764, -0.15314987301826477, -0.040091730654239655, -0.07395461946725845, -0.029610462486743927, -0.021248705685138702, 0.05085916817188263, 0.07664647698402405, 0.0981813594698906, -0.029610462486743927, -0.1303406059741974, 0.15740227699279785, -0.020260494202375412, -0.11957316100597382, -0.029610462486743927, -0.06318717449903488, 0.018843021243810654, -0.12637434899806976, -0.1708616018295288, 0.06460464745759964, 0.0981813594698906, 0.1477661430835724, 0.02011740952730179, 0.047322191298007965, 0.07111968100070953, -0.05907784402370453, -0.12892313301563263, -0.11560691893100739, -0.003966249525547028, -0.14663484692573547, -0.17213597893714905, 0.1037081778049469, 0.2996416389942169, -0.14110805094242096, 0.0029780417680740356, -0.10894879698753357, 0.01629425585269928, 0.11447562277317047, 0.010767441242933273, -0.02280927076935768, 0.049870967864990234, 0.22200694680213928, 0.09024886041879654, 0.1800684779882431, 0.029610462486743927]",Migrate to the cloud,"[AWS, Azure, Cloud Migration]",[Cloud Computing]
Cloud Security Analyst,"[-0.043667376041412354, 0.014360858127474785, 0.020802248269319534, -0.025437824428081512, -0.04040062427520752, -0.07488895952701569, -0.11463194340467453, 0.0023542046546936035, 0.007208280265331268, -0.0014780716737732291, -0.3870897889137268, 0.1380261778831482, 0.0922059565782547, -0.13123776018619537, -0.15718543529510498, 0.17016032338142395, 0.09213312715291977, 0.10216902196407318, 0.027590671554207802, 0.11085537075996399, 0.07636702805757523, -0.08886637538671494, -0.05403100699186325, -0.08129394054412842, -0.12866505980491638, 0.20052504539489746, -0.2137719839811325, 0.058885082602500916, -0.10308156907558441, -0.06518081575632095, -0.0952349379658699, 0.0009853810770437121, -0.05063788220286369, 0.008266489952802658, -0.005108989775180817, -0.02326570264995098, 0.04131316766142845, 0.05954271927475929, -0.07390357553958893, 0.05479789525270462, -0.058392394334077835, 0.05370326712727547, 0.22811570763587952, 0.0687388926744461, -0.09872018545866013, -0.009853811003267765, -0.18426625430583954, 0.08450499176979065, 0.2351590394973755, -0.052863553166389465, 0.24265864491462708, -0.00901409238576889, -0.08966968208551407, -0.03259040787816048, 0.06892096996307373, -0.07636702805757523, -0.024634528905153275, 0.1889553815126419, 0.14541654288768768, 0.21229392290115356, 0.13851886987686157, 0.23041421175003052, 0.03998076543211937, 0.2136627435684204, -0.1881156712770462, 0.20661941170692444, 0.0799979493021965, 0.130070298910141, -0.07510746270418167, -0.08583739399909973, -0.016113124787807465, -0.0785927027463913, -0.027097979560494423, -0.008193664252758026, -0.09632956236600876, 0.1613283008337021, 0.1540471911430359, -0.06423185020685196, 0.12992462515830994, -0.09132982790470123, -0.049596793949604034, 0.29026755690574646, -0.12415800988674164, -0.1392664611339569, 0.08572815358638763, -0.23503051698207855, 0.20866301655769348, -0.010858476161956787, 0.06472454220056534, 0.1479528248310089, -0.02530929446220398, 0.15200358629226685, -0.034068480134010315, -0.1431351602077484, -0.018649406731128693, 0.13722287118434906, -0.2242470234632492, -0.045893050730228424, 0.010346501134335995, -0.053776100277900696, -0.021496303379535675, -0.07381147146224976, 0.15178510546684265, -0.13547059893608093, -0.10145784169435501, -0.05457940325140953, -0.08587381988763809, 0.08640292286872864, -0.08674994856119156, 0.007700972259044647, -0.1711457073688507, 0.17244167625904083, 0.009433954954147339, -0.07488895952701569, -0.14496026933193207, 0.07777225971221924, -0.007208280265331268, -0.18247757852077484, -0.03850269317626953, 0.13211390376091003, -0.11184074729681015, -0.11406642198562622, -0.01928776502609253, -0.20074355602264404, -0.12278918921947479, -0.03012695536017418, -0.03111233562231064, 0.14567144215106964]",Analyze cloud security,"[Cloud Security, Threat Analysis]","[Information Security, Digital Forensic]"
Cloud Security Engineer,"[-0.0688709169626236, 0.04911355301737785, -0.013880524784326553, -0.05499038100242615, -0.08328314870595932, -0.048581838607788086, 0.0064085498452186584, -0.02882448583841324, -0.021884217858314514, 0.013880524784326553, -0.3897181451320648, 0.06246235966682434, 0.1393369734287262, -0.1393369734287262, -0.15481263399124146, 0.1041039377450943, 0.048581838607788086, 0.13986867666244507, -0.05605381727218628, 0.1041039377450943, 0.09769539535045624, -0.1259881556034088, 0.02722933143377304, -0.1670980155467987, -0.1041039377450943, 0.08969169855117798, -0.27226540446281433, 0.01441223919391632, -0.028292763978242874, 0.0, -0.006940262392163277, 0.013880524784326553, 0.07740631699562073, 0.013348810374736786, -0.028292763978242874, -0.04270500689744949, 0.04110985994338989, 0.048581838607788086, -0.1041039377450943, 0.07687459886074066, 0.02722933143377304, 0.09716366976499557, 0.32031551003456116, 0.04911355301737785, -0.1259881556034088, 0.0, -0.16656629741191864, -0.06940262764692307, 0.20179933309555054, 0.0064085498452186584, 0.27173367142677307, 0.16015774011611938, -0.11157591640949249, 0.0, 0.07099778950214386, -0.03470131382346153, 0.0, 0.11157591640949249, 0.12545643746852875, 0.21674329042434692, 0.1670980155467987, 0.16068947315216064, 0.13239669799804688, 0.2023310363292694, -0.24450434744358063, 0.1948590725660324, -0.05552209913730621, 0.06246235966682434, 0.04805012047290802, -0.19539079070091248, -0.1670980155467987, -0.04270500689744949, -0.06940262764692307, 0.07740631699562073, -0.25144460797309875, 0.16015774011611938, 0.0629940778017044, -0.0629940778017044, 0.1804468333721161, -0.0629940778017044, -0.01441223919391632, 0.263729989528656, -0.18738709390163422, -0.18898224830627441, 0.06246235966682434, -0.21033473312854767, 0.1745699942111969, -0.09610024094581604, 0.0352330282330513, 0.15321749448776245, -0.02882448583841324, 0.14627721905708313, -0.04911355301737785, -0.15374919772148132, -0.03416959196329117, 0.07687459886074066, -0.22956037521362305, -0.013880524784326553, 0.0005317181348800659, -0.11851617693901062, 0.0005317181348800659, -0.06352579593658447, 0.13239669799804688, -0.09128683805465698, 0.06352579593658447, -0.04110985994338989, -0.07687459886074066, 0.13239669799804688, -0.15321749448776245, -0.014943957328796387, -0.11157591640949249, 0.13880525529384613, -0.013880524784326553, -0.048581838607788086, -0.2300920933485031, -0.0005317181348800659, 0.08487831056118011, -0.29949474334716797, -0.013880524784326553, 0.048581838607788086, -0.11798445880413055, -0.0629940778017044, 0.013880524784326553, -0.12545643746852875, -0.1670980155467987, 0.0, 0.04911355301737785, 0.11851617693901062]",Secure cloud,"[Cloud Security, Encryption]",[Information Security]
Cloud Solutions Analyst,"[-0.11360707879066467, -0.19058680534362793, 0.0744650736451149, -0.03643934428691864, 0.05405384302139282, 0.06556378304958344, -0.1230195015668869, -0.0048002079129219055, -0.07637455314397812, -0.1656574159860611, 0.0513511523604393, 0.24533982574939728, -0.029729612171649933, 0.1385364830493927, -0.04464142397046089, -0.009412415325641632, 0.0784720778465271, -0.14263752102851868, -0.15745532512664795, -0.0513511523604393, -0.015516985207796097, -0.09459423273801804, 0.1270265281200409, 0.06626296043395996, -0.03252630680799484, 0.10610417276620865, 0.11160357296466827, 0.2305220365524292, 0.19878891110420227, -0.0648646131157875, 0.01821967214345932, -0.09459423273801804, -0.10820169001817703, -0.1277257204055786, -0.0890948474407196, -0.12031680345535278, -0.028331272304058075, 0.06966482847929001, -0.08928284794092178, -0.20820128917694092, -0.22781933844089508, 0.13252592086791992, -0.010810768231749535, -0.15824852883815765, -0.08378346264362335, 0.010810768231749535, 0.13443544507026672, -0.20950564742088318, -0.12912407517433167, 0.013607457280158997, 0.1899816393852234, -0.09459423273801804, 0.17376549541950226, -0.11351307481527328, -0.07567537575960159, 0.2325255274772644, -0.00619855523109436, -0.07297269254922867, -0.018918843939900398, 0.12432383745908737, -0.010810768231749535, -0.09459423273801804, 0.16826610267162323, -0.12912407517433167, -0.27847129106521606, 0.20270194113254547, 0.14664456248283386, -0.010810768231749535, -0.04324307292699814, -0.12031680345535278, -0.04734411835670471, 0.01561097800731659, -0.1277257204055786, 0.21351268887519836, -0.18578660488128662, -0.11020521074533463, 0.10470584034919739, -0.2885829210281372, -0.005499392747879028, 0.010111592710018158, -0.23793092370033264, 0.0959925726056099, -0.029729612171649933, 0.26505184173583984, -0.15144476294517517, -0.037931688129901886, -0.10610417276620865, -0.029729612171649933, 0.17977604269981384, -0.05065198242664337, 0.043942250311374664, 0.09799609333276749, -0.06216192618012428, -0.029729612171649933, 0.15745532512664795, -0.020922362804412842, -0.018918843939900398, -0.029729612171649933, -0.06286109238862991, 0.018918843939900398, -0.026327744126319885, -0.23793092370033264, 0.0648646131157875, 0.09799609333276749, -0.08518180251121521, 0.05205032229423523, 0.14864808320999146, -0.12912404537200928, -0.0581548847258091, -0.09468823671340942, -0.015516985207796097, -0.10279630869626999, -0.11421225219964981, -0.20410028100013733, 0.17166796326637268, 0.2967849671840668, -0.07297269254922867, 0.07227351516485214, -0.10880685597658157, -0.01491180807352066, 0.11551660299301147, 0.04324307292699814, 0.010111592710018158, 0.01821967214345932, 0.3217144012451172, -0.00820208340883255, 0.07907724380493164, 0.029729612171649933]",Analyze cloud solutions,"[AWS, Azure, Cloud Analysis]",[Cloud Computing]
Cloud Solutions Architect,"[0.027197277173399925, -0.2805010676383972, 0.06412279605865479, 0.010690517723560333, 0.05682660639286041, -0.03554230183362961, -0.09790340811014175, 0.10952398926019669, -0.07872699201107025, -0.13856948912143707, 0.06393948942422867, 0.07948394864797592, -0.1010923981666565, 0.11051853746175766, 0.0977846086025238, -0.18895360827445984, 0.10463780909776688, 0.023100286722183228, -0.2690536081790924, -0.042244456708431244, -0.04695752263069153, -0.12217134982347488, 0.08782895654439926, 0.1476171314716339, -0.04087143391370773, 0.19246676564216614, 0.0739273726940155, 0.09096364676952362, 0.1717119812965393, -0.05058947950601578, -0.025240428745746613, -0.10047632455825806, -0.13704542815685272, -0.20230361819267273, -0.1642104536294937, -0.16105370223522186, 0.07243555039167404, -0.06675000488758087, 0.016041725873947144, -0.1202688217163086, -0.22639843821525574, 0.058437228202819824, -0.03293713182210922, -0.09371986240148544, -0.012733932584524155, -0.023100286722183228, 0.34778061509132385, -0.3064984381198883, -0.23846198618412018, -0.027283839881420135, 0.11116684973239899, -0.07518159598112106, 0.10633498430252075, -0.14816874265670776, -0.032321058213710785, 0.21512410044670105, 0.017328202724456787, -0.1466768980026245, -0.008518137037754059, 0.18892134726047516, -0.053400009870529175, -0.10047632455825806, 0.23330596089363098, -0.2728043794631958, -0.18851064145565033, 0.14184504747390747, 0.17647933959960938, -0.04075263813138008, -0.011242106556892395, -0.11406393349170685, -0.0704142153263092, -0.14527162909507751, -0.12097145617008209, 0.17355003952980042, -0.13276517391204834, 0.05744268000125885, 0.06592857837677002, -0.17565791308879852, 0.12697097659111023, -0.10323254764080048, -0.12316590547561646, 0.19267211854457855, -0.03723948076367378, 0.26329168677330017, -0.08443459868431091, 0.07638148963451385, -0.15812437236309052, -0.06675000488758087, 0.011999055743217468, -0.048276230692863464, 0.09137436002492905, 0.032526418566703796, -0.03723948076367378, -0.04505499452352524, 0.2347111999988556, 0.04500066861510277, 0.008345020934939384, -0.06675000488758087, -0.1125398650765419, 0.0729871392250061, 0.057474926114082336, -0.1918506920337677, 0.008431579917669296, 0.10121120512485504, -0.04406043142080307, 0.06695536524057388, 0.14465558528900146, -0.04505499452352524, -0.1455092430114746, 0.0013730227947235107, -0.2873542904853821, 0.055302537977695465, -0.18912672996520996, -0.25933557748794556, 0.22499318420886993, 0.23858079314231873, -0.07799211889505386, 0.053281210362911224, -0.17630624771118164, -0.014992870390415192, 0.030180931091308594, 0.04558449983596802, -0.06889014691114426, -0.003545403480529785, 0.23409515619277954, 0.061799339950084686, 0.028224069625139236, 0.06675000488758087]",Design cloud solutions,"[AWS, Azure, Cloud Architecture]","[Cloud Computing, Distributed Systems]"
