name,semester,status,credits,embedding,teaches_skills,prerequisites_for,prerequisites_required
Agent-based Simulation,even,elective,3,"[-0.13030587136745453, 0.10625733435153961, 0.1477840095758438, 0.0325373150408268, 0.1301492601633072, 0.047554537653923035, 0.03078530542552471, 0.07672346383333206, -0.15733686089515686, 0.22591552138328552, 0.026916345581412315, -0.03244364261627197, 0.12113893032073975, -0.10600705444812775, 0.08748580515384674, -0.00564194843173027, -0.05005740374326706, -0.25592899322509766, 0.07146743685007095, 0.2564505338668823, 0.02416318655014038, -0.12175415456295013, 0.0, 0.323527455329895, 0.10088665038347244, 0.06530392915010452, 0.3429352045059204, -0.17308396100997925, 0.09938492625951767, -0.034424953162670135, -0.05130884051322937, -0.09713234752416611, -0.041203685104846954, -0.10188779979944229, -0.019157446920871735, 0.06686858832836151, -0.09749728441238403, 0.2866206169128418, 0.10464096069335938, -0.1456880271434784, -0.11276480555534363, -0.06295767426490784, 0.09422257542610168, -0.007665231823921204, -0.16657650470733643, -0.0650746300816536, -0.07171772420406342, -0.12191076576709747, 0.16609691083431244, 0.14241333305835724, 0.1144021600484848, 0.09749728441238403, 0.1559288203716278, 0.11237887293100357, -0.09410791844129562, -0.1256650686264038, -0.07897605001926422, 0.12264063209295273, 0.10213808715343475, 0.13592684268951416, 0.09938493371009827, 0.10464095324277878, 0.07171772420406342, 0.06782778352499008, 0.16072621941566467, 0.13053517043590546, 0.056450214236974716, -0.10088665038347244, -0.032287031412124634, 0.027781859040260315, 0.08095736801624298, 0.10175216197967529, 0.15219548344612122, -0.05467722937464714, -0.2908545136451721, -0.05770165100693703, -0.05795193463563919, 0.004233904182910919, 0.01867784559726715, -0.059453658759593964, -0.11465243995189667, -0.0609344057738781, -0.1432788372039795, 0.018406584858894348, 0.0746065080165863, 0.02166031487286091, -0.15658600628376007, -0.24705427885055542, -0.057566020637750626, 0.2201589047908783, -0.28286629915237427, -0.12541478872299194, -0.1255294382572174, -0.0345396064221859, -0.05044332519173622, 0.1714676022529602, 0.10949008166790009, -0.17922648787498474, -0.028762035071849823, 0.03378875181078911, -0.05044332519173622, -0.008509758859872818, 0.09112545847892761, -0.29763323068618774, 0.10338952392339706, 0.09963521361351013, -0.09023895859718323, -0.22575891017913818, -0.0037543054204434156, 0.14218400418758392, 0.11777053773403168, -0.13053517043590546, 0.2705812454223633, 0.13515500724315643, 0.06195652857422829, 0.018771527335047722, 0.08421109616756439, 0.06420911848545074, -0.11763489991426468, -0.04043184220790863, 0.11638346314430237, 0.11112743616104126, 0.16118483245372772, 0.06844301521778107, 0.05044332519173622, 0.20177330076694489, -0.01649796962738037, -0.09197001159191132]",[AI/ML],[],[]
Algorithm Design and Analysis,even,mandatory,3,"[-0.07405416667461395, 0.2600882053375244, 0.28453606367111206, 0.029742443934082985, 0.0720338225364685, -0.037382397800683975, 0.20960873365402222, 0.04065665975213051, -0.19007471203804016, 0.14767175912857056, -0.03863632678985596, 0.16780970990657806, 0.08802435547113419, 0.2014254927635193, 0.2925567924976349, 0.010259362868964672, -0.1784498393535614, -0.18728794157505035, -0.08496838063001633, -0.09522774070501328, -0.030559800565242767, -0.12038621306419373, -0.09304489940404892, 0.04071246087551117, -0.10423317551612854, 0.157057985663414, 0.3060394525527954, -0.025102699175477028, 0.00480225495994091, -0.05549999698996544, -0.08649636805057526, 0.07121646404266357, -0.09986749291419983, -0.0727444589138031, -0.15716472268104553, 0.15755034983158112, -0.1798662692308426, 0.11367520689964294, -0.18854671716690063, -0.030996374785900116, -0.04081916809082031, 0.10995952039957047, 0.09473539143800735, 0.027722110971808434, -0.05909927934408188, 0.05102276802062988, -0.13342750072479248, -0.14150401949882507, -0.05195167288184166, 0.2664742171764374, 0.2438284158706665, -0.06597764790058136, 0.24562564492225647, -0.0380372479557991, 0.1663326621055603, -0.12213248759508133, 0.011569071561098099, -0.010914217680692673, 0.07585621625185013, -0.1593475490808487, 0.02553926780819893, -0.06221103295683861, -0.08540494740009308, 0.007203383836895227, -0.18816109001636505, -0.27367761731147766, -0.09151691198348999, 0.285409152507782, -0.09348146617412567, 0.01375191193073988, -0.030559806153178215, 0.1882726401090622, 0.04583970457315445, 0.0843135267496109, -0.035910189151763916, -0.21899494528770447, -0.1064160168170929, -0.030559804290533066, 0.0867704302072525, 0.055281709879636765, 0.11187312752008438, 0.042565442621707916, -0.10330425947904587, 0.13173700869083405, -0.09959342330694199, -0.013097057119011879, 0.23427486419677734, 0.29370397329330444, 0.01200563833117485, -0.3304315209388733, 0.1155281811952591, -0.37168726325035095, 0.08977063000202179, -0.1645863801240921, -0.11705617606639862, 0.16502295434474945, 0.008076518774032593, -0.0808209776878357, -0.08463854342699051, 0.07667357474565506, 0.05157087743282318, 0.05549999698996544, -0.24300622940063477, -0.13975773751735687, 0.3980996608734131, -0.1181475967168808, -0.02363048493862152, 0.22516268491744995, 0.07667356729507446, -0.009822794236242771, -0.028214454650878906, -0.05921082943677902, -0.0692519098520279, 0.13451892137527466, -0.16087555885314941, -0.13861052691936493, 0.15803784132003784, 0.010914217680692673, -0.018554165959358215, -0.0362909771502018, -0.18145005404949188, -0.07896315306425095, -0.19301912188529968, -0.12469612061977386, -0.012005637399852276, -0.07885641604661942, 0.20448148250579834, 0.08496837317943573]",[],[],[Data Structure]
Application Security,even,elective,3,"[-0.011247361078858376, -0.14314182102680206, -0.15219391882419586, -0.07358267158269882, -0.22465434670448303, -0.003320634365081787, 0.09273216128349304, -0.08497802168130875, -0.09806451201438904, -0.0833192765712738, -0.19760584831237793, 0.07992323487997055, -0.1037713959813118, -0.1808457225561142, 0.30172398686408997, -0.06455206871032715, 0.012229390442371368, -0.06562507897615433, 0.0649975910782814, -0.0021304553374648094, -0.029747869819402695, -0.009534701704978943, 0.07770180702209473, -0.035608962178230286, -0.10294512659311295, 0.06654074788093567, -0.11226704716682434, -0.05662377178668976, 0.10448361933231354, 0.09081137925386429, 0.06600268930196762, 0.2095654159784317, -0.31351256370544434, -0.03679289668798447, -0.18481843173503876, 0.13079839944839478, -0.09799506515264511, 0.19730520248413086, -0.09992827475070953, -0.005535818636417389, 0.08128133416175842, -0.17664961516857147, 0.04898054897785187, -0.0677817091345787, -0.07358266413211823, 0.15231730043888092, -0.1415693759918213, 0.11422644555568695, 0.0248965322971344, 0.06224745139479637, 0.05905020982027054, 0.08974924683570862, 0.015330994501709938, 0.09457129240036011, -0.2878822684288025, -0.010653838515281677, 0.015605464577674866, -0.03043235093355179, -0.06600268930196762, 0.030577242374420166, -0.030194953083992004, 0.1019076332449913, 0.018352515995502472, -0.0931515246629715, -0.08089438825845718, 0.01950560323894024, -0.11055438220500946, -0.01293539721518755, -0.1336703598499298, 0.19295641779899597, -0.11733271926641464, 0.17019031941890717, 0.09767911583185196, -0.01095137745141983, -0.1305871456861496, 0.1632964164018631, 0.11004873365163803, 0.11300855875015259, 0.15918193757534027, 0.011839327402412891, 0.0668613463640213, 0.08391278982162476, 0.08796869218349457, 0.17212043702602386, -0.015685543417930603, -0.06588710099458694, 0.010831113904714584, -0.005532708019018173, 0.13130249083042145, 0.03075607866048813, 0.003018406219780445, -0.041346658021211624, -0.05416804179549217, -0.006866185925900936, -0.001631028950214386, 0.09738624840974808, -0.07887952029705048, 0.15737520158290863, -0.046618908643722534, 0.04176291823387146, -0.0531613826751709, -0.03454061970114708, -0.06197919324040413, -0.01453402079641819, -0.21849259734153748, -0.027437016367912292, -0.2499917447566986, -0.04812811315059662, 0.23652295768260956, 0.21349641680717468, -0.09854087978601456, 0.1848461627960205, -0.09267668426036835, -0.09441863000392914, 0.08550672233104706, 0.06114981323480606, 0.03729388117790222, 0.01935449242591858, -0.0870467871427536, 0.03383461385965347, -0.05446246266365051, 0.04611946642398834, 0.04555056244134903, -0.27213191986083984, 0.293354868888855, -0.1494484394788742, -0.0833825096487999, -0.08734744787216187]","[DevSecOps, Security]",[],"[Operating System, Computer Organization]"
Applied Data Science Programming,odd,elective,3,"[0.0014718733727931976, 0.007101653143763542, 0.012662336230278015, 0.08266112208366394, 0.13761508464813232, 0.1368536651134491, -0.061733730137348175, -0.10376043617725372, -0.0336468406021595, 0.08750621229410172, 0.07892514765262604, 0.20571905374526978, 0.06416332721710205, 0.02816253900527954, 0.3120546340942383, 0.09247478097677231, -0.0838603526353836, -0.10012000054121017, 0.08417443931102753, -0.015843123197555542, 0.21639616787433624, -0.1392655223608017, -0.06917189806699753, 0.39860251545906067, 0.07151200622320175, 0.14036409556865692, 0.07086572796106339, -0.011093196459114552, 0.06589553505182266, 0.14811789989471436, 0.10071238875389099, 0.09861896187067032, -0.006412975490093231, -0.058518439531326294, 0.06231033802032471, 0.27236849069595337, -0.06142216920852661, 0.03477237746119499, 0.08320430666208267, -0.1205797791481018, -0.03576852008700371, -0.01824624463915825, -0.1729280799627304, -0.17738434672355652, 0.03134077787399292, -0.03167407214641571, 0.09468196332454681, -0.24567249417304993, 0.20412810146808624, 0.15405139327049255, 0.15559977293014526, 0.07563863694667816, 0.09249254316091537, 0.15252713859081268, -0.04009050875902176, -0.07226140797138214, -0.1890275776386261, -0.09217873215675354, -0.019554197788238525, -0.08409469574689865, 0.13321125507354736, -0.010527186095714569, 0.06446346640586853, 0.009996376931667328, 0.117861807346344, 0.06781747937202454, -0.0016095256432890892, -0.011355400085449219, 0.08980497717857361, -0.019877664744853973, 0.007664833217859268, -0.19141104817390442, -0.01726369559764862, -0.09433121234178543, -0.01019064337015152, -0.04421485587954521, -0.03902041167020798, 0.003466486930847168, -0.10787590593099594, 0.14730247855186462, 0.04331403970718384, 0.14721375703811646, 0.026815112680196762, -0.19960245490074158, -0.07693157345056534, 0.06291405856609344, -0.023994650691747665, -0.0561693012714386, 0.05917933210730553, 0.08869470655918121, -0.03577585890889168, -0.24576690793037415, -0.12950506806373596, -0.021590329706668854, 0.04596404358744621, 0.2003939300775528, 0.07283686846494675, -0.13453194499015808, -0.003559783101081848, -0.05511229485273361, 0.1372438222169876, -0.10961557924747467, -0.12394785135984421, -0.19469736516475677, -0.1788387894630432, -0.03019002079963684, -0.05520227551460266, -0.1753431111574173, 0.016321606934070587, -0.1326417177915573, 0.006209006533026695, 0.11295877397060394, 0.16261601448059082, 0.07070745527744293, 0.08112265169620514, 0.07565819472074509, 0.015879258513450623, 0.07568333297967911, -0.03477432206273079, 0.02568657323718071, 0.0692921057343483, 0.22678880393505096, 0.19302740693092346, -0.023895584046840668, 0.07241809368133545, -0.09426838904619217, 0.15746206045150757, -0.1765914410352707]","[Python, Data Analysis, R, Machine Learning]",[],[]
Applied Technology and Digital Transformation,odd,mandatory,3,"[-0.10901328921318054, -0.2052958607673645, 0.09493036568164825, 0.1653558313846588, 0.0511755645275116, 0.20786839723587036, 0.013159428723156452, 0.09504032135009766, -0.1359807550907135, -0.2537889778614044, -0.050416991114616394, 0.2060544490814209, -0.14347843825817108, 0.06216924265027046, -0.09983355551958084, -0.07351471483707428, -0.07229439914226532, 0.19424721598625183, -0.16990724205970764, 0.07843983918428421, 0.011697269976139069, -0.002275712788105011, -0.2222481369972229, -0.13264967501163483, 0.2060544490814209, 0.09785468876361847, -0.06035527586936951, 0.1604306846857071, 0.086915984749794, 0.014621587470173836, 0.045623742043972015, -0.08802634477615356, 0.12271138280630112, 0.060245331376791, 0.024559874087572098, 0.15896853804588318, -0.07351471483707428, 0.04708590358495712, 0.05721105635166168, 0.02620890736579895, -0.07018361985683441, -0.128746896982193, -0.12135918438434601, -0.09493036568164825, -0.10411009192466736, -0.2060544490814209, 0.045623742043972015, 0.2290422022342682, -0.12428348511457443, 0.23540757596492767, 0.060245331376791, -0.14347843825817108, 0.015731951221823692, 0.09715110063552856, 0.16979728639125824, 0.12417354434728622, 0.062466055154800415, 0.24220162630081177, 0.0, 0.06381825357675552, -0.009476544335484505, -0.07048044353723526, 0.19324681162834167, -0.05767281353473663, 0.13253971934318542, 0.008366182446479797, -0.06316965073347092, -0.09346821159124374, 0.03579540178179741, -0.19289499521255493, -0.03392647206783295, 0.0853438675403595, -0.18049414455890656, -0.023394539952278137, 0.0033310912549495697, 0.12282133847475052, 0.034794989973306656, 0.009828342124819756, 0.04941658303141594, 0.12095240503549576, 0.11445515602827072, 0.1458091139793396, -0.09983355551958084, -0.19804006814956665, -0.011587321758270264, -0.12095240503549576, -0.10744118690490723, -0.15528565645217896, -0.02713240683078766, -0.14827167987823486, 0.1814945638179779, -0.050768785178661346, 0.1472712755203247, 0.18195632100105286, 0.23026251792907715, -0.13178116083145142, 0.0, 0.04930662736296654, -0.014621587470173836, -0.0855637788772583, 0.04708590358495712, 0.09639252722263336, -0.12574566900730133, 0.21745488047599792, 0.09024707973003387, -0.018062636256217957, -0.02620890736579895, -0.2045922726392746, -0.10633081942796707, -0.09807458519935608, 0.003441035747528076, -0.04229264706373215, 0.17816346883773804, 0.014621587470173836, 0.04995524883270264, 0.08177094161510468, -0.17212796211242676, 0.03958822786808014, -0.06070707365870476, 0.15663786232471466, -0.009828342124819756, 0.1289667934179306, 0.05767281353473663, -0.03825797885656357, -0.12271138280630112, 0.08678410947322845, 0.026318857446312904, -0.2060544490814209]","[IT Strategy, Change Management]",[],[]
Artificial Intelligence Concepts,odd,mandatory,3,"[-0.028769055381417274, 0.12750251591205597, 0.2287742793560028, 0.07949040085077286, 0.18633979558944702, 0.03852251172065735, 0.10526242852210999, 0.01547178253531456, -0.1689680963754654, 0.25843390822410583, -0.011652074754238129, 0.13686904311180115, 0.09665871411561966, -0.05721619725227356, 0.32768386602401733, 0.1628481149673462, -0.154054194688797, -0.317477285861969, 0.10124900937080383, -0.02517138049006462, 0.08931132405996323, -0.1780567765235901, -0.04791519418358803, 0.4493778944015503, 0.02206735871732235, 0.16642402112483978, 0.3043229579925537, -0.06655190885066986, 0.10679709166288376, 0.016861818730831146, -0.008828304708003998, 0.08137130737304688, -0.1143914982676506, -0.1908741593360901, 0.03839102387428284, 0.2281801998615265, -0.20501217246055603, 0.2533380389213562, -0.006146950647234917, -0.21007338166236877, -0.19500631093978882, -0.0994144156575203, 0.06000798940658569, 0.06197231635451317, -0.02282896265387535, -0.09878914058208466, -0.03695293515920639, -0.22846513986587524, 0.19054701924324036, 0.2988481819629669, 0.31791552901268005, 0.16802778840065002, 0.20931674540042877, 0.12675678730010986, -0.03072204813361168, -0.15752394497394562, -0.1924239695072174, 0.07845725119113922, 0.047767337411642075, -0.005219138227403164, 0.15963292121887207, 0.03932406008243561, 0.12482180446386337, 0.008250303566455841, 0.08647787570953369, -0.07316278666257858, -0.001306493766605854, -0.031186025589704514, -0.02308802306652069, 0.015424441546201706, 0.0025074854493141174, 0.06783314794301987, 0.11383017897605896, -0.013380325399339199, -0.22480948269367218, -0.11385264992713928, -0.14142358303070068, -0.05352009832859039, -0.0005109310150146484, 0.10125698149204254, 0.04990167170763016, 0.07487130165100098, -0.14470550417900085, -0.06721136718988419, -0.020609252154827118, 0.03924408182501793, -0.06562618911266327, -0.10705506801605225, -0.05572252720594406, 0.10879239439964294, -0.1857941448688507, -0.3694743812084198, 0.01583145000040531, -0.1638571321964264, -0.09156401455402374, 0.29405468702316284, 0.17477750778198242, -0.27520236372947693, -0.1011478453874588, 0.06374581158161163, 0.06138984486460686, 0.013419635593891144, -0.13952113687992096, -0.3817877173423767, 0.07059162855148315, -0.010229535400867462, -0.2008741796016693, -0.2748160660266876, 0.013988368213176727, 0.09673105180263519, 0.07763569802045822, -0.01750180311501026, 0.2682456970214844, 0.1033569723367691, 0.02463543228805065, 0.011462981812655926, 0.1769569218158722, 0.0540912002325058, -0.03825376182794571, -0.1029953807592392, 0.03205443173646927, 0.2672346532344818, 0.17983770370483398, -0.06644497811794281, 0.06375868618488312, 0.02166055142879486, 0.07442228496074677, -0.08466590940952301]","[Python, AI/ML, Machine Learning]",[Machine Learning],[Data Structure]
Automata,even,mandatory,2,"[-0.07881107181310654, 0.0, -0.15762214362621307, 0.23311445116996765, 0.15762214362621307, 0.15762214362621307, -0.2364332228899002, 0.15430337190628052, -0.08212985098361969, 0.23311445116996765, -0.23311445116996765, -0.07881107181310654, 0.07881107181310654, 0.07881107181310654, -0.15430337190628052, 0.15762214362621307, 0.15762214362621307, 0.0, 0.07549230009317398, 0.0, 0.07549230009317398, -0.15762214362621307, -0.15430337190628052, 0.15762214362621307, 0.0, -0.15430337190628052, 0.3119255304336548, -0.003318771719932556, 0.07881107181310654, 0.07881107181310654, 0.0, 0.15430337190628052, 0.0, 0.15430337190628052, 0.07881107181310654, -0.07881107181310654, 0.07549230009317398, -0.07881107181310654, 0.07881107181310654, 0.0, -0.07881107181310654, 0.0, 0.07881107181310654, 0.07881107181310654, -0.07881107181310654, 0.07881107181310654, -0.07881107181310654, 0.0, -0.07549230009317398, 0.0, -0.08212985098361969, 0.07881107181310654, -0.23311445116996765, 0.07881107181310654, -0.07881107181310654, 0.07881107181310654, -0.07881107181310654, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15430337190628052, -0.23311445116996765, 0.07549230009317398, 0.07881107181310654, 0.15430337190628052, 0.23311445116996765, 0.0, 0.07881107181310654, 0.0, 0.0, 0.0, -0.07881107181310654, 0.07881107181310654, 0.0, -0.07881107181310654, 0.07881107181310654, 0.3119255304336548, -0.15430337190628052, -0.07881107181310654, 0.07881107181310654, -0.07881107181310654, 0.15430337190628052, 0.07881107181310654, 0.07881107181310654, 0.07549230009317398, -0.07881107181310654, -0.3119255304336548, 0.07881107181310654, 0.07881107181310654, 0.07549230009317398, 0.0, 0.07881107181310654, 0.07881107181310654, 0.15762214362621307, 0.15762214362621307, -0.15430337190628052, -0.07881107181310654, -0.07881107181310654, 0.0, -0.23311445116996765, -0.07881107181310654, 0.0, -0.15430337190628052, -0.23311445116996765, 0.0, 0.15430337190628052, 0.0, 0.07881107181310654, 0.23311445116996765, 0.07881107181310654, 0.15430337190628052, -0.15430337190628052, -0.07881107181310654, 0.15430337190628052, -0.2364332228899002, -0.07549230009317398, 0.15762214362621307, 0.0, 0.07881107181310654, -0.07881107181310654, 0.07549230009317398, -0.003318771719932556, -0.07881107181310654, 0.07881107181310654, 0.15430337190628052, 0.0]",[],[],[Calculus 2]
Big Data,odd,elective,3,"[0.012189097702503204, 0.06964172422885895, -0.14066147804260254, 0.10987479984760284, 0.13016115128993988, 0.11573438346385956, -0.33602428436279297, -0.16122949123382568, -0.06921358406543732, 0.06743413954973221, 0.10110161453485489, -0.017737101763486862, 0.04901021718978882, -0.12438765168190002, 0.009969901293516159, 0.1873234510421753, -0.1501545011997223, -0.011023346334695816, -0.0018818452954292297, -0.11759501695632935, 0.004164509475231171, -0.12573036551475525, -0.11217314004898071, 0.2547675669193268, 0.13211029767990112, 0.20228227972984314, 0.21184945106506348, -0.17783862352371216, -0.2476983368396759, 0.188667893409729, 0.24161258339881897, 0.03502517193555832, 0.09489436447620392, 0.08053164184093475, 0.10865862667560577, 0.11165424436330795, -0.056751642376184464, -0.19649572670459747, 0.09692611545324326, -0.07269765436649323, -0.20125019550323486, -0.04700658097863197, 0.02553524076938629, -0.05443193018436432, 0.06596017628908157, 0.006025157868862152, 0.09702935814857483, -0.11295777559280396, 0.11299684643745422, 0.07221300899982452, -0.2012127935886383, 0.027397487312555313, -0.024294283241033554, 0.17716774344444275, 0.013078637421131134, 0.07170835882425308, 0.009417340159416199, -0.24630042910575867, -0.036636218428611755, -0.0038933521136641502, 0.3511616587638855, -0.07813557982444763, -0.09706941246986389, 0.19043222069740295, -0.06625974178314209, -0.1526297628879547, 0.05188923329114914, 0.34149169921875, 0.08669459819793701, -0.12226483225822449, 0.06217961385846138, -0.15949992835521698, 0.07975665479898453, 0.035260699689388275, 0.11804508417844772, -0.05038677528500557, -0.043360672891139984, 0.12282460927963257, -0.035161860287189484, -0.04532689228653908, -0.05173904076218605, 0.04509548842906952, -0.1561698019504547, -0.19090798497200012, -0.06387703120708466, 0.1942518651485443, 0.06120269373059273, -0.2582037150859833, -0.031942203640937805, -0.09228819608688354, 0.1195879727602005, -0.08894194662570953, -0.06947331130504608, -0.03788711875677109, -0.03135601431131363, 0.11452540755271912, -0.04544343799352646, 0.08511272817850113, -0.11856894195079803, 0.022207004949450493, 0.051476482301950455, 0.18986284732818604, 0.028179772198200226, -0.008945059031248093, -0.1972571164369583, -0.007126514799892902, -0.1934226155281067, -0.02752096951007843, 0.017641084268689156, -0.009966731071472168, -0.03921639919281006, 0.08121038228273392, 0.034392356872558594, 0.15435642004013062, 0.1489623785018921, -0.1769915521144867, 0.10857158899307251, 0.1591416597366333, 0.11307954788208008, -0.2375127673149109, 0.006121829152107239, 0.10989364981651306, -0.005952124483883381, 0.15082715451717377, 0.07859213650226593, -0.2403901219367981, 0.37053588032722473, -0.03380616009235382]","[Data Analysis, ETL, Big Data]",[],[]
Calculus 1,odd,mandatory,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[]
Calculus 2,even,mandatory,3,"[-0.07881107181310654, 0.0, -0.15762214362621307, 0.23311445116996765, 0.15762214362621307, 0.15762214362621307, -0.2364332228899002, 0.15430337190628052, -0.08212985098361969, 0.23311445116996765, -0.23311445116996765, -0.07881107181310654, 0.07881107181310654, 0.07881107181310654, -0.15430337190628052, 0.15762214362621307, 0.15762214362621307, 0.0, 0.07549230009317398, 0.0, 0.07549230009317398, -0.15762214362621307, -0.15430337190628052, 0.15762214362621307, 0.0, -0.15430337190628052, 0.3119255304336548, -0.003318771719932556, 0.07881107181310654, 0.07881107181310654, 0.0, 0.15430337190628052, 0.0, 0.15430337190628052, 0.07881107181310654, -0.07881107181310654, 0.07549230009317398, -0.07881107181310654, 0.07881107181310654, 0.0, -0.07881107181310654, 0.0, 0.07881107181310654, 0.07881107181310654, -0.07881107181310654, 0.07881107181310654, -0.07881107181310654, 0.0, -0.07549230009317398, 0.0, -0.08212985098361969, 0.07881107181310654, -0.23311445116996765, 0.07881107181310654, -0.07881107181310654, 0.07881107181310654, -0.07881107181310654, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15430337190628052, -0.23311445116996765, 0.07549230009317398, 0.07881107181310654, 0.15430337190628052, 0.23311445116996765, 0.0, 0.07881107181310654, 0.0, 0.0, 0.0, -0.07881107181310654, 0.07881107181310654, 0.0, -0.07881107181310654, 0.07881107181310654, 0.3119255304336548, -0.15430337190628052, -0.07881107181310654, 0.07881107181310654, -0.07881107181310654, 0.15430337190628052, 0.07881107181310654, 0.07881107181310654, 0.07549230009317398, -0.07881107181310654, -0.3119255304336548, 0.07881107181310654, 0.07881107181310654, 0.07549230009317398, 0.0, 0.07881107181310654, 0.07881107181310654, 0.15762214362621307, 0.15762214362621307, -0.15430337190628052, -0.07881107181310654, -0.07881107181310654, 0.0, -0.23311445116996765, -0.07881107181310654, 0.0, -0.15430337190628052, -0.23311445116996765, 0.0, 0.15430337190628052, 0.0, 0.07881107181310654, 0.23311445116996765, 0.07881107181310654, 0.15430337190628052, -0.15430337190628052, -0.07881107181310654, 0.15430337190628052, -0.2364332228899002, -0.07549230009317398, 0.15762214362621307, 0.0, 0.07881107181310654, -0.07881107181310654, 0.07549230009317398, -0.003318771719932556, -0.07881107181310654, 0.07881107181310654, 0.15430337190628052, 0.0]",[],"[Graph Theory, Discrete Mathematics, Automata]",[]
