name,embedding
Calculus 1,"[-0.003988238051533699, 0.0015911493683233857, -0.005773995537310839, -0.00023663508181925863, -0.006730920635163784, -0.005948339123278856, 0.004800524562597275, 0.005826734472066164, 0.0049666911363601685, 0.007738659158349037, -0.0017350958660244942, 0.001926120719872415, -0.006903702858835459, -0.0039032460190355778, 0.0005864737904630601, -0.006264339666813612, -0.0010330459335818887, -0.0017510734032839537, -0.0028562687803059816, -0.0032638972625136375, -0.0015961549943313003, -0.003348466707393527, 0.00031447072979062796, 0.005257254000753164, 0.0043615358881652355, -0.006274169310927391, 0.0019698585383594036, 0.0015001383144408464, -0.003282488090917468, -0.007310892920941114, -0.007057189475744963, -0.002063898602500558, 0.004754592198878527, 0.003614811459556222, -0.0009896765695884824, -0.004344487097114325, -0.0078031099401414394, -0.004673142451792955, -0.0006734741036780179, 0.0019961674697697163, 0.0038833599537611008, 0.002078618621453643, 0.002316070022061467, -0.007504051085561514, -0.0008793981396593153, -0.0039179944433271885, 0.002661166712641716, 0.003010855056345463, -0.0024224768858402967, -0.0034135824535042048, -0.00006002249210723676, 0.007092995103448629, 0.005518660880625248, 0.00023627425252925605, 0.0059493230655789375, -0.003566240193322301, 0.0013454507570713758, -0.0016406804788857698, 0.0037706494331359863, 0.003969961777329445, -0.007049500942230225, 0.0009058607392944396, 0.006589985452592373, 0.0026253743562847376]"
Fundamental Programming,"[0.6824131608009338, 0.28588250279426575, 0.1936093270778656, -0.06524795293807983, 0.34571003913879395, 0.05046370252966881, 0.7215110063552856, 0.40124133229255676, -0.4533795118331909, 0.9150649905204773, -0.602379560470581, 0.03725075721740723, 0.48755788803100586, 0.11532456427812576, -0.3041189908981323, 0.20016144216060638, -0.1880316585302353, 0.37697938084602356, -0.7187240719795227, 0.37871381640434265, 0.04586987569928169, -0.6636238694190979, 0.8455149531364441, 0.07513752579689026, -0.3055446445941925, 0.2659445106983185, 0.10328876972198486, 0.5083212852478027, -0.2263111025094986, 0.32617923617362976, 0.13175825774669647, 0.3039412498474121, 0.03465116024017334, 0.5525922179222107, -0.43383243680000305, 0.18047179281711578, -0.33488017320632935, -0.45070526003837585, 0.43742093443870544, 0.20292365550994873, 0.1343855857849121, 0.24413764476776123, 0.053196173161268234, -0.0509718619287014, -0.04209054261445999, -0.23873010277748108, -0.285704106092453, -0.46117913722991943, 0.258387953042984, 0.16031435132026672, 0.16171841323375702, 0.043290622532367706, 0.23490624129772186, 0.30479589104652405, -0.09057503193616867, -0.19351226091384888, -0.44252023100852966, -0.20145395398139954, -0.6262083649635315, -0.10818471014499664, 0.40929147601127625, 0.5365471839904785, -0.1331976056098938, 0.5586693286895752]"
Digital System,"[0.36478281021118164, 0.15767879784107208, -0.08858920633792877, 0.208938330411911, 0.24914994835853577, -0.3174000084400177, 0.4512309730052948, 0.1533239334821701, 0.012234092690050602, -0.04088477045297623, -0.26507678627967834, -0.10320044308900833, 0.17319084703922272, 0.08944901823997498, -0.1583653688430786, -0.026368634775280952, 0.18846562504768372, 0.14885574579238892, -0.10797914862632751, 0.4672812521457672, 0.10881504416465759, -0.3751133978366852, 0.14105373620986938, -0.24442358314990997, -0.12301050126552582, -0.11025241017341614, 0.19265159964561462, 0.013743103481829166, -0.07177646458148956, 0.4620179533958435, 0.07766927033662796, 0.16777102649211884, 0.10499365627765656, 0.20018695294857025, -0.2748826742172241, 0.24965666234493256, -0.16408033668994904, -0.14576658606529236, 0.21843722462654114, -0.06628833711147308, -0.014433363452553749, -0.15190032124519348, 0.02513960748910904, -0.41116681694984436, -0.356240838766098, 0.14947842061519623, -0.2733786404132843, -0.25684958696365356, 0.2284802496433258, 0.018205318599939346, -0.22150075435638428, -0.021406184881925583, -0.04156991094350815, 0.09332916140556335, 0.12087637931108475, -0.3959012031555176, -0.11409910768270493, 0.10594966262578964, -0.08524568378925323, -0.08215893805027008, 0.2710493206977844, 0.1188543513417244, -0.0723869651556015, 0.19961775839328766]"
Linear Algebra,"[0.844761848449707, 0.397546648979187, 0.05124473571777344, 1.2086613178253174, 0.8334349989891052, -0.8720675706863403, 1.2938138246536255, -0.667999804019928, -0.2557901442050934, 1.030507206916809, -0.7388396859169006, -0.549976646900177, -0.027605224400758743, 0.1685517579317093, -0.48985251784324646, -0.07755956053733826, 0.1875666230916977, -0.13892096281051636, -1.463568925857544, 1.2372819185256958, 0.018383972346782684, -0.9312017560005188, 0.3569258153438568, -0.6557430028915405, 0.1409674882888794, -0.8000162243843079, 0.45123353600502014, -0.795513927936554, -0.729415237903595, 1.429502010345459, 0.7607414126396179, 0.707115650177002, 0.8251798748970032, 0.5630010366439819, -1.028184413909912, 1.0110098123550415, -1.0261766910552979, -0.7598612904548645, 0.9548571705818176, -0.010154427960515022, 0.25962570309638977, -0.6999738812446594, 0.3651101887226105, -0.9612771272659302, -0.9914616346359253, 0.31162166595458984, -0.9502868056297302, -0.7956566214561462, 1.0396881103515625, -0.26338067650794983, -0.46903398633003235, -0.34185439348220825, -0.08196057379245758, 0.059753116220235825, 0.1404666006565094, -1.146216869354248, -0.365723580121994, -0.2218198925256729, -0.11299630254507065, -0.627616822719574, 0.11463876813650131, 0.8244489431381226, -0.4151431918144226, 1.158983826637268]"
Database System,"[0.4879426658153534, 0.13022811710834503, 0.2736056447029114, 0.9415719509124756, 0.008991937153041363, -0.18834787607192993, 0.7598327398300171, -0.26783502101898193, -0.5715879797935486, -0.14251670241355896, 0.23850204050540924, -0.24726387858390808, 0.4541347324848175, -0.19735004007816315, -0.2619723081588745, -0.15714207291603088, -0.013914807699620724, 0.32712528109550476, -0.4090867340564728, 0.8679752349853516, -0.1464676409959793, -0.43471720814704895, 0.3584866523742676, 0.33766815066337585, -0.05655277520418167, -0.7946021556854248, -0.003000956494361162, -0.6272056698799133, -0.2949158549308777, 1.1125894784927368, 0.09398776292800903, -0.35904809832572937, 0.06386535614728928, 0.9748792052268982, -0.9485489130020142, 0.1804506480693817, 0.12696436047554016, 0.17422303557395935, -0.05674170330166817, 0.12321706116199493, -0.18989019095897675, -0.500848650932312, 0.040822554379701614, -0.3613559603691101, -0.2948777675628662, 0.37650832533836365, -0.7182015776634216, 0.042816221714019775, 0.10805661976337433, 0.0875280573964119, -0.4910769760608673, -0.35381215810775757, 0.17079070210456848, -0.2832360863685608, 0.14409762620925903, -0.18378014862537384, 0.40419864654541016, 0.028599288314580917, -0.7828192710876465, -1.007282018661499, 0.4710076153278351, 0.44820132851600647, -1.2659610509872437, -0.015298765152692795]"
Data Structure,"[0.7254706025123596, 0.2704700231552124, 0.2621343433856964, -0.06848224997520447, 0.2672271430492401, 0.023814741522073746, 0.610360324382782, 0.5240870714187622, -0.42411163449287415, 0.8654281497001648, -0.6302513480186462, -0.05879218503832817, 0.47815006971359253, 0.15475882589817047, -0.32731392979621887, 0.13675794005393982, -0.1204834058880806, 0.4701647460460663, -0.6954261660575867, 0.32475554943084717, 0.05857793614268303, -0.7045103311538696, 0.9016703963279724, 0.13291209936141968, -0.3112037181854248, 0.3346903920173645, 0.17992959916591644, 0.5212733745574951, -0.19497179985046387, 0.26408371329307556, 0.09173238277435303, 0.3275964558124542, -0.12230069190263748, 0.6837891340255737, -0.568065345287323, 0.22445835173130035, -0.2848700284957886, -0.5258660912513733, 0.35338863730430603, 0.26108846068382263, 0.07793702930212021, 0.16112051904201508, -0.03303981572389603, -0.13218875229358673, -0.01356729306280613, -0.27901995182037354, -0.30486756563186646, -0.43021443486213684, 0.2549527585506439, 0.243303120136261, 0.17233772575855255, 0.18982286751270294, 0.23329052329063416, 0.30589792132377625, -0.0697534903883934, -0.23072245717048645, -0.4389711618423462, -0.0721840187907219, -0.7289430499076843, -0.10669190436601639, 0.5045823454856873, 0.48110467195510864, -0.04606365039944649, 0.604141354560852]"
Operating System,"[0.7721642851829529, 0.7053382396697998, -0.5813894271850586, 0.5117993950843811, 0.43587931990623474, -1.0856443643569946, 0.7823386192321777, 0.773426353931427, 0.22974275052547455, -0.1715824455022812, -0.8032262325286865, -0.11213637888431549, -0.029454829171299934, 0.2042059749364853, -0.34553903341293335, -0.2531115710735321, 0.6276784539222717, 0.5352810025215149, 0.19232062995433807, 1.069252371788025, 0.2506600320339203, -0.553789496421814, 0.161677286028862, -0.8496395945549011, -0.4384227395057678, -0.12229752540588379, 0.654380738735199, 0.07609707862138748, 0.25063231587409973, 1.2008823156356812, 0.32363611459732056, 0.26737746596336365, 0.014932911843061447, 0.3318023383617401, -0.45630648732185364, 0.6445434093475342, 0.16052770614624023, -0.09474389255046844, 0.6423025727272034, -0.42430949211120605, -0.29867613315582275, -0.48104894161224365, -0.2997712194919586, -1.311226487159729, -0.8314201831817627, 0.2814832627773285, -0.6520861983299255, -0.9084148406982422, 0.39446011185646057, -0.06622367352247238, -0.49440833926200867, -0.17185543477535248, -0.36628028750419617, 0.19484220445156097, 0.714706301689148, -1.037721037864685, -0.4035148024559021, 0.4991987347602844, 0.2864782512187958, -0.38244032859802246, 0.6404469609260559, -0.32956719398498535, 0.023630907759070396, 0.29073283076286316]"
Computer Organization,"[0.2760348618030548, 0.11661476641893387, -0.09602290391921997, 0.2094966173171997, 0.1908864676952362, -0.31705552339553833, 0.3751060664653778, 0.03523669019341469, 0.03603687137365341, 0.01560982782393694, -0.2381465584039688, -0.14823442697525024, 0.12124091386795044, 0.057953063398599625, -0.134787455201149, -0.02835809253156185, 0.13351161777973175, 0.06234067305922508, -0.09071432799100876, 0.37015387415885925, 0.12043768912553787, -0.2181156873703003, 0.06441739201545715, -0.18176811933517456, -0.03243830427527428, -0.08190985769033432, 0.11777574568986893, -0.018892155960202217, -0.0600605234503746, 0.36378374695777893, 0.0668748989701271, 0.14926522970199585, 0.11651403456926346, 0.17185766994953156, -0.2118833065032959, 0.1886657476425171, -0.15023358166217804, -0.163680762052536, 0.16390582919120789, -0.10867496579885483, -0.017402958124876022, -0.13039706647396088, 0.03417965769767761, -0.3162608742713928, -0.28946468234062195, 0.09674353152513504, -0.20011006295681, -0.20946016907691956, 0.20600400865077972, 0.014514216221868992, -0.18728771805763245, -0.032664015889167786, -0.04443071410059929, 0.08313540369272232, 0.09504129737615585, -0.3151179850101471, -0.09301566332578659, 0.048333995044231415, -0.06505105644464493, -0.09494699537754059, 0.1487777978181839, 0.12793834507465363, -0.07069846242666245, 0.16545020043849945]"
Numerical Computation,"[0.7722287178039551, 0.3951803743839264, 0.07280374318361282, 1.1784002780914307, 0.785686194896698, -0.8586616516113281, 1.211355447769165, -0.6983716487884521, -0.2684262990951538, 1.0618418455123901, -0.704027533531189, -0.5273605585098267, -0.07743965089321136, 0.1551952362060547, -0.46928170323371887, -0.09577243775129318, 0.14876602590084076, -0.1702384501695633, -1.474221110343933, 1.158998727798462, -0.026513338088989258, -0.8514377474784851, 0.32541540265083313, -0.6381856203079224, 0.16928070783615112, -0.803193211555481, 0.44022971391677856, -0.8327479958534241, -0.7110962867736816, 1.3749016523361206, 0.7844793200492859, 0.7015795111656189, 0.797910213470459, 0.5220664143562317, -0.9915443658828735, 0.971467137336731, -1.0084130764007568, -0.7335455417633057, 0.9329183101654053, 0.002687763422727585, 0.24808621406555176, -0.6872183084487915, 0.3407188355922699, -0.9047554135322571, -0.9261794090270996, 0.2772858440876007, -0.9236528873443604, -0.7821979522705078, 1.0143812894821167, -0.30237138271331787, -0.4568370282649994, -0.34726226329803467, -0.06810958683490753, 0.02910062111914158, 0.1438785195350647, -1.0916515588760376, -0.34683290123939514, -0.24518445134162903, -0.03240516036748886, -0.6117120981216431, 0.07596037536859512, 0.7805054783821106, -0.39826634526252747, 1.1522579193115234]"
Calculus 2,"[0.6831261515617371, -0.16949720680713654, 0.13412389159202576, 0.9161601662635803, 0.6786449551582336, -0.23348648846149445, 1.0917582511901855, -0.5185580849647522, -0.33085301518440247, 0.8354119062423706, -0.2566172778606415, 0.2512998580932617, 0.000025555800675647333, -0.16608470678329468, -0.056776490062475204, -1.0402865409851074, 0.3951529264450073, -0.19835016131401062, -0.1273941844701767, 1.0219829082489014, -0.26820114254951477, -1.654005527496338, 0.4576959013938904, -1.1169418096542358, -0.04897502809762955, -0.864278256893158, 0.755652904510498, -1.06075119972229, -1.0145107507705688, 0.434939980506897, 0.6425798535346985, 0.6419516205787659, 0.9274585843086243, 0.4500334858894348, -0.7241324782371521, 0.09073198586702347, -0.5708566904067993, 0.08093443512916565, 0.6389381289482117, -0.0937671959400177, 0.49173441529273987, -0.9989873170852661, -0.027346815913915634, -0.5378856062889099, -0.8362820148468018, 0.14891105890274048, -1.4771021604537964, -0.4098392128944397, 0.5953508615493774, 0.3820964992046356, -0.4929511249065399, 0.5757563710212708, 0.19429676234722137, -0.21394848823547363, -0.14373719692230225, -1.3681578636169434, -0.15707750618457794, 0.07560707628726959, -0.568177342414856, 0.283809632062912, 0.319131463766098, 0.9525012373924255, -0.1740589588880539, 0.859416663646698]"
