name,embedding,taught_by_classes,required_by_careers
AI Governance,"[-0.07624863088130951, 0.12982270121574402, 0.0, 0.043274231255054474, 0.0, 0.0, 0.043274231255054474, 0.0, -0.032974399626255035, -0.08654846251010895, 0.043274231255054474, -0.23904572427272797, 0.08654846251010895, -0.16279709339141846, 0.0, -0.11952286213636398, 0.0, -0.11952286213636398, -0.043274231255054474, -0.12982270121574402, 0.0, 0.10922302305698395, -0.2926197946071625, -0.12982270121574402, -0.07624863088130951, 0.0, 0.16279709339141846, 0.07624863088130951, 0.0, -0.12982270121574402, -0.11952286213636398, -0.23904572427272797, 0.12982270121574402, 0.2493455708026886, -0.043274231255054474, -0.010299839079380035, 0.0, 0.0, -0.11952286213636398, 0.0, 0.0, -0.12982270121574402, 0.043274231255054474, 0.1730969250202179, -0.05357406288385391, -0.16279709339141846, 0.11952286213636398, -0.12982270121574402, 0.0, 0.10922302305698395, 0.12982270121574402, 0.08654846251010895, 0.0, -0.2926197946071625, 0.0, 0.16279709339141846, 0.0, 0.12982270121574402, 0.2493455708026886, 0.1730969250202179, 0.1730969250202179, -0.010299839079380035, 0.0, -0.07624863088130951, -0.2493455708026886, 0.0, 0.11952286213636398, 0.0, 0.0, 0.0, 0.11952286213636398, 0.010299839079380035, 0.16279709339141846, 0.11952286213636398, -0.1730969250202179, -0.11952286213636398, 0.0, 0.0, 0.0, -0.3688684105873108, 0.20607131719589233, 0.2926197946071625, -0.11952286213636398, 0.11952286213636398, -0.2493455708026886, -0.11952286213636398, 0.0, -0.12982270121574402, -0.11952286213636398, 0.11952286213636398, -0.043274231255054474, 0.11952286213636398, -0.12982270121574402, -0.043274231255054474, 0.12982270121574402, 0.11952286213636398, -0.11952286213636398, 0.12982270121574402, 0.16279709339141846, 0.07624863088130951, 0.2493455708026886, 0.08654846251010895, 0.12982270121574402, 0.2493455708026886, 0.043274231255054474, -0.043274231255054474, 0.07624863088130951, 0.12982270121574402, -0.043274231255054474, 0.032974399626255035, 0.11952286213636398, 0.0, 0.010299839079380035, 0.1730969250202179, 0.0, 0.05357406288385391, -0.05357406288385391, -0.12982270121574402, -0.1730969250202179, -0.043274231255054474, 0.11952286213636398, -0.1730969250202179, 0.043274231255054474, -0.043274231255054474, -0.12982270121574402, 0.0, -0.043274231255054474, 0.043274231255054474]",[],[AI Ethics Consultant]
AI/ML,"[-0.10370658338069916, 0.09102068841457367, 0.20310541987419128, 0.05806650593876839, 0.21164390444755554, 0.017811892554163933, 0.014676863327622414, 0.021919677034020424, -0.1453656256198883, 0.21351981163024902, 0.015023542568087578, 0.004383876919746399, 0.12221558392047882, -0.0697031244635582, 0.16074205935001373, 0.047215573489665985, -0.07912714034318924, -0.3150748312473297, 0.07166632264852524, 0.1662353277206421, 0.08717049658298492, -0.15087345242500305, -0.006076898891478777, 0.3723459243774414, 0.09430684894323349, 0.12294210493564606, 0.3363390564918518, -0.18770381808280945, 0.06608541309833527, -0.04433445632457733, -0.03587330877780914, -0.022309068590402603, -0.020391426980495453, -0.13929563760757446, -0.007823683321475983, 0.07739542424678802, -0.10915635526180267, 0.2758317291736603, 0.11297907680273056, -0.18026965856552124, -0.16771788895130157, -0.10485630482435226, 0.10611537098884583, 0.06051991879940033, -0.177407369017601, -0.06494005024433136, -0.07886311411857605, -0.16281773149967194, 0.15093711018562317, 0.23290427029132843, 0.19983510673046112, 0.10242724418640137, 0.17532935738563538, 0.15688414871692657, -0.10566127300262451, -0.10986121743917465, -0.11095701158046722, 0.13271358609199524, 0.05865173786878586, 0.08730565756559372, 0.0972670465707779, 0.08210800588130951, 0.10471323132514954, 0.07590270787477493, 0.1383218765258789, 0.12010207772254944, 0.043501462787389755, -0.0920189619064331, -0.02533017098903656, 0.042006153613328934, 0.08771534264087677, 0.10172329843044281, 0.15478798747062683, -0.10084705799818039, -0.301408052444458, -0.053210873156785965, -0.06826518476009369, -0.017603836953639984, -0.04946589469909668, 0.012245357036590576, -0.06605196744203568, -0.003828004002571106, -0.16311196982860565, 0.015530787408351898, 0.06066611036658287, -0.0073037054389715195, -0.1378442496061325, -0.23040151596069336, -0.09451398253440857, 0.22941023111343384, -0.26680803298950195, -0.20694485306739807, -0.10894697904586792, -0.05042029172182083, -0.022152215242385864, 0.18861564993858337, 0.12820515036582947, -0.20025673508644104, -0.10008617490530014, 0.04419298097491264, -0.004542662762105465, 0.037475910037755966, -0.023223549127578735, -0.31519976258277893, 0.11542345583438873, 0.06795068085193634, -0.12477697432041168, -0.24500414729118347, -0.02755463495850563, 0.14035598933696747, 0.08880650997161865, -0.12570275366306305, 0.33167555928230286, 0.14163565635681152, 0.061523906886577606, 0.015003228560090065, 0.1719667911529541, 0.07532986253499985, -0.1000460535287857, -0.07335488498210907, 0.14303071796894073, 0.15132607519626617, 0.20887866616249084, 0.028449229896068573, 0.059255458414554596, 0.14067143201828003, -0.023305512964725494, -0.12620343267917633]","[Artificial Intelligence Concepts, Machine Learning, Knowledge based Engineering, Image Processing and Computer Vision, Smart Game, Robotics, Special Topics on Intelligent Computation and Vision, Deep Learning, Agent-based Simulation]",[AI/ML Engineer]
AWS,"[-0.033856675028800964, -0.2594553530216217, 0.0847727507352829, 0.019777849316596985, 0.04909495264291763, 0.02595175802707672, -0.13743281364440918, 0.11819537729024887, -0.08795791864395142, -0.1297588050365448, 0.08850651234388351, 0.12057323753833771, -0.027659816667437553, 0.15327045321464539, 0.06476394087076187, -0.14030031859874725, 0.05765002220869064, -0.013530220836400986, -0.21734493970870972, -0.092913419008255, -0.039341144263744354, -0.08734706044197083, 0.08440912514925003, 0.1326967477798462, -0.01503031700849533, 0.13912121951580048, 0.09682249277830124, 0.16741153597831726, 0.20859339833259583, -0.04940446466207504, -0.019707433879375458, -0.05062286928296089, -0.1073443591594696, -0.15883681178092957, -0.12670785188674927, -0.14947441220283508, 0.03800485283136368, -0.04528742656111717, -0.002679198980331421, -0.12120373547077179, -0.2376714050769806, 0.0891173705458641, -0.009123317897319794, -0.13655507564544678, -0.06206510215997696, 0.010592285543680191, 0.2817993760108948, -0.30884015560150146, -0.24066013097763062, -0.013788960874080658, 0.11740768700838089, -0.09469189494848251, 0.13917197287082672, -0.14995259046554565, -0.042369142174720764, 0.22088226675987244, -0.0135728120803833, -0.060286618769168854, -0.033226173371076584, 0.14585518836975098, -0.006185383535921574, -0.11525744199752808, 0.227937251329422, -0.23331527411937714, -0.24881228804588318, 0.15321968495845795, 0.17884229123592377, -0.01646815612912178, -0.01646815612912178, -0.1465364694595337, -0.07743605226278305, -0.07381684333086014, -0.15002301335334778, 0.19759821891784668, -0.1866849660873413, -0.007654351182281971, 0.04554617404937744, -0.18938378989696503, 0.0784824788570404, -0.060897473245859146, -0.1503325253725052, 0.18532900512218475, -0.04528742656111717, 0.28840726613998413, -0.11059179902076721, 0.0085124671459198, -0.14352811872959137, -0.04528742656111717, 0.03586277365684509, -0.025830570608377457, 0.07767514139413834, 0.09885970503091812, -0.055570200085639954, -0.05263226479291916, 0.21146908402442932, 0.028270673006772995, -0.04644688218832016, -0.04528742656111717, -0.10061854124069214, 0.055260688066482544, -0.01027129590511322, -0.1958705186843872, 0.04940446466207504, 0.1106114536523819, 0.010353194549679756, 0.06799174100160599, 0.14084893465042114, -0.01884600892663002, -0.12034562975168228, -0.06085817143321037, -0.19945859909057617, -0.007105745375156403, -0.18912506103515625, -0.24385681748390198, 0.2247602343559265, 0.30304619669914246, -0.07497629523277283, 0.022042691707611084, -0.15352103114128113, -0.02215571701526642, 0.07670401781797409, 0.03262680023908615, -0.05502160266041756, 0.006733983755111694, 0.26821839809417725, 0.05526885390281677, 0.0891370177268982, 0.04528742656111717]",[Cloud Computing],"[Cloud Architect, Cloud Migration Specialist, Cloud Solutions Analyst, Cloud Solutions Architect, Cloud Support Engineer]"
Active Directory,"[0.0, -0.08562160283327103, 0.006087161134928465, 0.16435334086418152, 0.15746349096298218, -0.18789929151535034, -0.08481890708208084, -0.08481890708208084, 0.08481890708208084, -0.07873174548149109, -0.08481890708208084, 0.2674337327480316, -0.26134657859802246, -0.08481890708208084, -0.018261482939124107, -0.018261482939124107, 0.34007832407951355, 0.15826617181301117, 0.1030803918838501, -0.02434864453971386, 0.08562160283327103, 0.16355066001415253, -0.17044050991535187, 0.16435334086418152, -0.32790398597717285, 0.006087161134928465, 0.08562160283327103, -0.17652766406536102, 0.08481890708208084, -0.0909060686826706, 0.13391752541065216, -0.048295941203832626, 0.17044050991535187, -0.006087161134928465, -0.08481890708208084, 0.0, 0.1030803918838501, 0.0, 0.006087161134928465, -0.15137633681297302, 0.0, 0.1818121373653412, -0.01217432226985693, 0.0, 0.08481890708208084, 0.0, -0.2552594244480133, -0.1030803918838501, 0.006087161134928465, -0.1152547150850296, 0.1030803918838501, 0.17044050991535187, -0.09699323028326035, 0.16435334086418152, 0.0, 0.01217432226985693, -0.08481890708208084, 0.17044050991535187, -0.01217432226985693, 0.08481890708208084, 0.16435334086418152, -0.018261482939124107, -0.08481890708208084, -0.01217432226985693, -0.4005485773086548, -0.01217432226985693, -0.09699323028326035, -0.07264458388090134, -0.16963781416416168, 0.0060871620662510395, 0.018261482939124107, 0.15826617181301117, 0.18789929151535034, -0.06736011058092117, 0.018261482939124107, 0.35225263237953186, 0.08481890708208084, -0.07264458388090134, -0.07264458388090134, 0.01217432226985693, -0.26663103699684143, -0.07264458388090134, -0.07953443378210068, -0.08562160283327103, -0.17572498321533203, -0.006087161134928465, 0.06655742228031158, -0.15217901766300201, 0.15746349096298218, -0.23699793219566345, 0.17044050991535187, -0.02434864453971386, -0.07873174548149109, -0.1030803918838501, -0.14609184861183167, -0.2544567286968231, -0.09699323028326035, 0.16355066001415253, -0.09170875698328018, 0.0, 0.006087161134928465, 0.17044050991535187, -0.08481890708208084, 0.01217432226985693, 0.0, 0.0, 0.006087161134928465, -0.15746349096298218, -0.01217432226985693, 0.22482359409332275, -0.01217432226985693, 0.006087161134928465, 0.0, 0.14609184861183167, -0.15826617181301117, 0.07873174548149109, -0.01217432226985693, -0.09699323028326035, -0.10916755348443985, -0.15217901766300201, 0.09699323028326035, 0.0, -0.01217432226985693, -0.018261482939124107, 0.011371642351150513, -0.017458796501159668, -0.09699323028326035, 0.006087161134928465]",[],[System Administrator]
Agile,"[0.0451841801404953, -0.08532080054283142, -0.06024603545665741, 0.03134411945939064, 0.005820970982313156, -0.11100710928440094, -0.027965344488620758, 0.04441079497337341, 0.06696243584156036, -0.010095171630382538, 0.024220455437898636, 0.02593041956424713, -0.09004338085651398, 0.18550047278404236, 0.035618316382169724, -0.08446649461984634, 0.054303012788295746, -0.04844091087579727, -0.08108772337436676, 0.1079135611653328, -0.07408609986305237, -0.08874069154262543, -0.12769663333892822, -0.05104628950357437, -0.05442506819963455, -0.043637409806251526, -0.025523144751787186, -0.16449560225009918, -0.003866933286190033, 0.15818645060062408, 0.053122375160455704, -0.025034993886947632, -0.18053382635116577, -0.017626095563173294, -0.11931142210960388, -0.13653025031089783, -0.18794266879558563, -0.24196049571037292, 0.052307844161987305, -0.006350276060402393, 0.302735835313797, -0.04974360018968582, -0.08523987233638763, -0.07408609986305237, 0.1397869735956192, -0.16075070202350616, -0.24729327857494354, -0.2025972604751587, 0.07449336349964142, 0.08202429860830307, 0.03134411945939064, -0.07954094558954239, 0.12073615193367004, 0.18240690231323242, 0.21802522242069244, -0.1397869735956192, 0.03264680877327919, -0.10714017599821091, -0.0983065515756607, 0.05568661168217659, -0.01799222081899643, -0.09960924088954926, 0.12269020080566406, -0.14263643324375153, 0.10844287276268005, -0.0690385103225708, 0.28006213903427124, 0.07502266764640808, 0.14906764030456543, 0.03146615996956825, 0.035618316382169724, 0.1674671322107315, -0.09948720037937164, -0.24236774444580078, 0.02849465236067772, -0.28095754981040955, 0.03692100569605827, -0.08548396080732346, -0.0013026893138885498, 0.09871381521224976, -0.13522756099700928, 0.1000165119767189, -0.2247416377067566, 0.006594356149435043, -0.24236774444580078, 0.06439819186925888, -0.137954980134964, 0.19339752197265625, 0.029390081763267517, -0.039363205432891846, -0.004274197854101658, -0.19091416895389557, -0.2097209244966507, -0.08703073859214783, -0.17463192343711853, 0.01839948259294033, -0.11385656893253326, -0.18550047278404236, 0.1707238256931305, -0.04131724685430527, 0.09081676602363586, -0.009973128326237202, 0.2725312113761902, -0.00712366309016943, 0.2273470163345337, -0.21281448006629944, -0.01424732618033886, 0.17292195558547974, 0.051819682121276855, -0.01709679141640663, -0.048970215022563934, -0.041683390736579895, -0.10714017599821091, 0.06956781446933746, -0.10644768178462982, -0.12423697113990784, -0.0046814680099487305, 0.2807134687900543, 0.07538878917694092, 0.02991938591003418, 0.17951633036136627, 0.043515369296073914, -0.28808122873306274, 0.042334720492362976, -0.00712366309016943, 0.06606701016426086, 0.08007025718688965, -0.04819682613015175]","[Software Development Principles, Software Project Management]",[IT Project Manager]
Android,"[0.24493929743766785, -0.008368134498596191, -0.06961455941200256, 0.22443096339702606, -0.08050128072500229, -0.021239526569843292, -0.11672450602054596, 0.2737577259540558, 0.2456008493900299, 0.094231516122818, 0.10330765694379807, 0.0219010841101408, -0.02014855295419693, 0.13201001286506653, 0.007938706316053867, -0.3502200245857239, 0.08513219654560089, 0.16629503667354584, 0.07345626503229141, -0.2816964387893677, -0.1724463403224945, -0.017270172014832497, -0.1373024880886078, 0.04128359258174896, -0.03688480332493782, -0.002216823399066925, -0.044939592480659485, -0.02520887926220894, -0.16077041625976562, 0.05175246670842171, -0.09085408598184586, 0.03910161554813385, 0.0072771478444337845, -0.02520887926220894, -0.16100256145000458, -0.09174779057502747, 0.012871414422988892, 0.011675909161567688, -0.11341673135757446, -0.06256955116987228, -0.018953070044517517, 0.0508936271071434, 0.28831201791763306, 0.18730242550373077, -0.0072771478444337845, -0.072562575340271, 0.1030639261007309, -0.16894127428531647, -0.023224202916026115, 0.09578678011894226, -0.043082550168037415, -0.10746268928050995, 0.02014855295419693, -0.16077041625976562, -0.25185665488243103, 0.02159930020570755, 0.027622971683740616, -0.024779468774795532, -0.005954029504209757, 0.16967247426509857, 0.17046166956424713, -0.11100263893604279, 0.19127178192138672, 0.21136227250099182, 0.012639259919524193, -0.07358390092849731, -0.18127873539924622, -0.04735369607806206, -0.029839791357517242, 0.03688480332493782, -0.07653193175792694, 0.011675909161567688, -0.08917119354009628, -0.06101428344845772, 0.0, -0.01233748346567154, -0.17310790717601776, 0.018163874745368958, 0.026531996205449104, -0.15517616271972656, -0.0818244069814682, 0.12797102332115173, -0.2459026277065277, 0.1448233723640442, -0.015645265579223633, 0.11564513295888901, 0.10606993734836578, -0.07851660996675491, -0.011977700516581535, -0.13290371000766754, -0.03868379071354866, 0.06991633772850037, -0.1406218707561493, 0.06991633772850037, 0.14416182041168213, 0.009029686450958252, -0.035561684519052505, -0.08820784837007523, 0.058368053287267685, -0.14746960997581482, 0.01925484836101532, -0.006383441388607025, -0.09704025089740753, 0.0013231184566393495, 0.08777842670679092, -0.06058487296104431, 0.011675924062728882, 0.11967253684997559, 0.1031915619969368, 0.16937069594860077, 0.0981312245130539, -0.13796405494213104, -0.19547326862812042, -0.19061021506786346, 0.18743008375167847, 0.07960758358240128, 0.07808719575405121, 0.2880798876285553, -0.15493245422840118, -0.006383448839187622, -0.06948691606521606, 0.07497666776180267, 0.01925484836101532, 0.08490005135536194, -0.1899486482143402, 0.07960758358240128, 0.006615588441491127, 0.002216815948486328]","[Mobile Programming, Mobile Computing]",[Mobile App Developer]
Architecture,"[0.3457246422767639, 0.04673079028725624, 0.09348492324352264, -0.1743108034133911, 0.0680169016122818, 0.09499458968639374, -0.11963531374931335, -0.004896153695881367, 0.0073415786027908325, 0.008954446762800217, -0.13230633735656738, 0.02112245187163353, 0.04049181193113327, -0.043789640069007874, 0.14580856263637543, -0.22352293133735657, 0.09221770614385605, 0.10479731857776642, 0.014864901080727577, -0.11490266025066376, -0.03570668771862984, -0.05254312604665756, -0.12125448882579803, 0.03163108229637146, -0.2944822907447815, 0.03117995709180832, 0.11149375140666962, -0.0053737834095954895, 0.11092636734247208, -0.012040190398693085, 0.0738825723528862, 0.017642300575971603, 0.16029584407806396, 0.17436648905277252, -0.0019011582480743527, -0.3418954014778137, 0.12173569202423096, -0.1467110514640808, -0.0025449423119425774, -0.19183877110481262, -0.0968056470155716, 0.07507432997226715, 0.09379634261131287, 0.015642240643501282, -0.15208040177822113, -0.0970136895775795, -0.1840749830007553, -0.10265931487083435, -0.3753369450569153, 0.10843933373689651, 0.06952600926160812, -0.10083464533090591, 0.009079585783183575, 0.25148943066596985, -0.049588050693273544, 0.06984264403581619, -0.07369223237037659, -0.16537699103355408, 0.04398167505860329, 0.12985460460186005, -0.17119988799095154, -0.09031995385885239, -0.14445123076438904, 0.053651392459869385, 0.006605667993426323, -0.13786928355693817, -0.22588929533958435, 0.1542375534772873, -0.11528274416923523, 0.07309369742870331, -0.06486187130212784, -0.0862760990858078, 0.17176997661590576, 0.19267889857292175, -0.0790165364742279, 0.005732088349759579, -0.15911592543125153, -0.11229410022497177, 0.14092734456062317, 0.1273954212665558, -0.03605116903781891, 0.2905920743942261, -0.06265658140182495, -0.06227375566959381, -0.08820591866970062, -0.026292894035577774, 0.04117375239729881, -0.028890427201986313, 0.14293575286865234, -0.11261457949876785, -0.06969425082206726, -0.22927474975585938, 0.009342189878225327, 0.14538507163524628, -0.0750596895813942, -0.2835090458393097, 0.011618559248745441, 0.031082989647984505, 0.08188433945178986, -0.04778921976685524, -0.029299817979335785, 0.07015401124954224, -0.27667245268821716, -0.20005208253860474, -0.08077786862850189, -0.020664766430854797, -0.010230843909084797, -0.014205843210220337, -0.04901925474405289, -0.03401235491037369, 0.24828223884105682, -0.22052110731601715, -0.11099354922771454, 0.2099095582962036, 0.04659904167056084, -0.13536083698272705, 0.06412144005298615, 0.10324083268642426, -0.1727895587682724, 0.17761917412281036, -0.082842618227005, 0.01235084980726242, 0.00006066635251045227, 0.009779386222362518, -0.13343270123004913, -0.09706342220306396, 0.17152491211891174, 0.2496775984764099]","[Software Design, Software Architecture, Special Topics on Computer Architecture and Networks, Game Engine]",[Software Architect]
Audit,"[0.1004648432135582, -0.14010824263095856, 0.024505969136953354, 0.07006895542144775, -0.0004875287413597107, 0.22229430079460144, -0.12423451244831085, 0.02472844533622265, 0.07618468999862671, -0.02079194411635399, -0.032012488692998886, -0.13953889906406403, -0.16234982013702393, 0.0022055357694625854, -0.012486937455832958, 0.11105386167764664, -0.15227125585079193, -0.12962397933006287, 0.012588366866111755, -0.053841687738895416, 0.02458445355296135, 0.1691855639219284, 0.15267698466777802, 0.03709433227777481, 0.16300097107887268, -0.06416898220777512, 0.012382172048091888, -0.06853415817022324, -0.11143997311592102, 0.1900756061077118, -0.2596732974052429, 0.13990537822246552, -0.3198402523994446, 0.09230717271566391, -0.1514335572719574, -0.01877295970916748, -0.09712063521146774, 0.2349219024181366, -0.09609967470169067, -0.05788295716047287, 0.2635083496570587, 0.16295838356018066, 0.1519014686346054, -0.18003632128238678, -0.06359631568193436, -0.09918215870857239, 0.13800747692584991, 0.22255603969097137, 0.049496129155159, -0.04927365481853485, 0.03076905570924282, 0.11584769189357758, -0.15639102458953857, -0.12521624565124512, 0.14788314700126648, 0.02689141407608986, -0.18346565961837769, -0.12554015219211578, -0.11378949880599976, -0.08255253732204437, 0.08822333067655563, 0.0006511509418487549, -0.08028814196586609, -0.008324624970555305, -0.05982343107461929, 0.1027718111872673, 0.06594252586364746, -0.14566132426261902, 0.03125658258795738, 0.024852830916643143, -0.2345750480890274, -0.10919518023729324, 0.012140078470110893, -0.06159696727991104, -0.05721217393875122, -0.23519031703472137, -0.00448954850435257, 0.1322319060564041, -0.11307616531848907, 0.0356021374464035, 0.006469275802373886, -0.008226528763771057, 0.17283739149570465, 0.1788550615310669, -0.017159726470708847, 0.20948010683059692, -0.04382532835006714, -0.11691123247146606, -0.06590328365564346, -0.1383739411830902, -0.12295517325401306, 0.08257216215133667, 0.05359958857297897, -0.05796807259321213, -0.1873825490474701, -0.10301724076271057, 0.18523921072483063, -0.007981091737747192, -0.08067423105239868, -0.04105045646429062, 0.16251011192798615, -0.2592250108718872, 0.12968285381793976, 0.012140078470110893, -0.2102949023246765, -0.1460278034210205, -0.12343937903642654, 0.059211522340774536, -0.25328582525253296, 0.1251932978630066, 0.0, -0.0512567013502121, 0.08242815732955933, 0.14806640148162842, 0.02056613191962242, -0.012486937455832958, -0.09481365978717804, 0.044764481484889984, 0.24914315342903137, 0.04741830378770828, 0.027401892468333244, -0.12521624565124512, 0.02472844533622265, -0.05510808527469635, 0.09893341362476349, 0.012463994324207306, -0.03295164182782173, 0.11703228205442429]","[IT Governance, System Audit]",[IT Auditor]
Azure,"[-0.033856675028800964, -0.2594553530216217, 0.0847727507352829, 0.019777849316596985, 0.04909495264291763, 0.02595175802707672, -0.13743281364440918, 0.11819537729024887, -0.08795791864395142, -0.1297588050365448, 0.08850651234388351, 0.12057323753833771, -0.027659816667437553, 0.15327045321464539, 0.06476394087076187, -0.14030031859874725, 0.05765002220869064, -0.013530220836400986, -0.21734493970870972, -0.092913419008255, -0.039341144263744354, -0.08734706044197083, 0.08440912514925003, 0.1326967477798462, -0.01503031700849533, 0.13912121951580048, 0.09682249277830124, 0.16741153597831726, 0.20859339833259583, -0.04940446466207504, -0.019707433879375458, -0.05062286928296089, -0.1073443591594696, -0.15883681178092957, -0.12670785188674927, -0.14947441220283508, 0.03800485283136368, -0.04528742656111717, -0.002679198980331421, -0.12120373547077179, -0.2376714050769806, 0.0891173705458641, -0.009123317897319794, -0.13655507564544678, -0.06206510215997696, 0.010592285543680191, 0.2817993760108948, -0.30884015560150146, -0.24066013097763062, -0.013788960874080658, 0.11740768700838089, -0.09469189494848251, 0.13917197287082672, -0.14995259046554565, -0.042369142174720764, 0.22088226675987244, -0.0135728120803833, -0.060286618769168854, -0.033226173371076584, 0.14585518836975098, -0.006185383535921574, -0.11525744199752808, 0.227937251329422, -0.23331527411937714, -0.24881228804588318, 0.15321968495845795, 0.17884229123592377, -0.01646815612912178, -0.01646815612912178, -0.1465364694595337, -0.07743605226278305, -0.07381684333086014, -0.15002301335334778, 0.19759821891784668, -0.1866849660873413, -0.007654351182281971, 0.04554617404937744, -0.18938378989696503, 0.0784824788570404, -0.060897473245859146, -0.1503325253725052, 0.18532900512218475, -0.04528742656111717, 0.28840726613998413, -0.11059179902076721, 0.0085124671459198, -0.14352811872959137, -0.04528742656111717, 0.03586277365684509, -0.025830570608377457, 0.07767514139413834, 0.09885970503091812, -0.055570200085639954, -0.05263226479291916, 0.21146908402442932, 0.028270673006772995, -0.04644688218832016, -0.04528742656111717, -0.10061854124069214, 0.055260688066482544, -0.01027129590511322, -0.1958705186843872, 0.04940446466207504, 0.1106114536523819, 0.010353194549679756, 0.06799174100160599, 0.14084893465042114, -0.01884600892663002, -0.12034562975168228, -0.06085817143321037, -0.19945859909057617, -0.007105745375156403, -0.18912506103515625, -0.24385681748390198, 0.2247602343559265, 0.30304619669914246, -0.07497629523277283, 0.022042691707611084, -0.15352103114128113, -0.02215571701526642, 0.07670401781797409, 0.03262680023908615, -0.05502160266041756, 0.006733983755111694, 0.26821839809417725, 0.05526885390281677, 0.0891370177268982, 0.04528742656111717]",[Cloud Computing],"[Cloud Architect, Cloud Migration Specialist, Cloud Solutions Analyst, Cloud Solutions Architect, Cloud Support Engineer]"
Big Data,"[0.05989965796470642, 0.0735878199338913, -0.16524764895439148, 0.15259647369384766, 0.16027165949344635, 0.010655205696821213, -0.2988247871398926, -0.04574902355670929, -0.10311304032802582, 0.06207966059446335, 0.024106942117214203, -0.0430961474776268, 0.06377159804105759, -0.06763967126607895, -0.08940616250038147, 0.20574559271335602, -0.1753959357738495, -0.05513826012611389, 0.07280237972736359, -0.24305051565170288, -0.05049201846122742, -0.1899651736021042, -0.1007627323269844, 0.28262853622436523, 0.17878547310829163, 0.2698536813259125, 0.15987196564674377, -0.1844037026166916, -0.2250615656375885, 0.17656777799129486, 0.26547735929489136, 0.03774106502532959, 0.13264614343643188, -0.06620405614376068, 0.13376137614250183, 0.12762221693992615, -0.10512247681617737, -0.1848331093788147, 0.07744219154119492, -0.0652686133980751, -0.261244535446167, -0.08080466091632843, -0.016968809068202972, 0.01461646519601345, 0.13468575477600098, -0.049158718436956406, 0.10279805958271027, -0.13358917832374573, 0.048281230032444, 0.11519861221313477, -0.16424547135829926, 0.06677218526601791, -0.013103019446134567, 0.20334720611572266, -0.009398788213729858, 0.05649235099554062, -0.004609465599060059, -0.2414437085390091, -0.03354920446872711, -0.01458030566573143, 0.28225547075271606, -0.11574138700962067, -0.02902364358305931, 0.20466873049736023, -0.05657642334699631, -0.1671920120716095, 0.09997712075710297, 0.2576218843460083, 0.08311715722084045, -0.10557610541582108, 0.04095137119293213, -0.10514414310455322, 0.19506621360778809, 0.07718093693256378, 0.039475105702877045, -0.07369536906480789, -0.1504322737455368, 0.11369174718856812, 0.003419063985347748, 0.013015028089284897, -0.02579154074192047, 0.029760584235191345, -0.22011308372020721, -0.1652127504348755, -0.014883045107126236, 0.2167021632194519, 0.046676844358444214, -0.15780219435691833, -0.0395069420337677, -0.020031705498695374, 0.014493092894554138, -0.10233849287033081, 0.03519167751073837, -0.16479510068893433, -0.04942546784877777, 0.15138934552669525, 0.0037526339292526245, 0.050969116389751434, -0.12841124832630157, 0.0079525550827384, 0.019402174279093742, 0.18152891099452972, -0.001275084912776947, -0.05845162272453308, -0.12422385811805725, -0.006564723327755928, -0.22913888096809387, -0.054359689354896545, 0.06960476189851761, 0.02908344566822052, -0.01671300083398819, 0.08426618576049805, 0.07573426514863968, 0.1001315712928772, 0.16714392602443695, -0.22983518242835999, 0.18943794071674347, 0.20255529880523682, 0.13294576108455658, -0.21944573521614075, -0.008472912013530731, 0.1440848559141159, 0.01964264176785946, 0.11247372627258301, 0.12836644053459167, -0.24563440680503845, 0.30362722277641296, 0.06850910186767578]","[Data Mining, Big Data, Distributed Database, Text Mining]",[Data Engineer]
